Nome_Azienda,URL_Sito,Google_Business_Link,Categoria,Priorita,Email,Immagini,Link_Demo,Data_Generazione,Data_Contatto,Contattato,Citta,Sito_Pre2020,Mobile_Friendly,Channel_Manager,Blog,Criteri_Soddisfatti,Note,Brief_Demo_OpenClaw
San Francesco Resort,https://www.sanfrancescoresort.com,https://www.google.com/maps/search/?api=1&query=San+Francesco+Resort+Agropoli,Hotel/Resort SPA,2,info@sanfrancescoresort.com,,,2026-06-10,,No,Agropoli,Da analizzare,Da analizzare (no PageSpeed),Da analizzare,Incerto,3.0,4 stelle ex convento XII sec SPA wellness terrazza vista mare upper. | PageSpeed: perf=FAIL seo= bp=. Stack: n/d. Booking engine: non rilevato. Blog non verificato (0.5).,San Francesco Resort; Hotel/Resort SPA; Agropoli; 4 stelle ex convento XII sec SPA wellness terrazza vista mare upper; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Hotel Myrtus,https://www.hotelmyrtus.it,https://www.google.com/maps/search/?api=1&query=Hotel+Myrtus+Agropoli,Hotel/Residence,3,info@hotelmyrtus.it,,,2026-06-10,,No,Agropoli,Da analizzare,Da analizzare (no PageSpeed),Da analizzare,Incerto,2.0,4 stelle residence piscina vicino spiaggia Trentova mid-family. | PageSpeed: perf=FAIL seo= bp=. Stack: n/d. Booking engine: non rilevato. Blog non verificato (0.5).,Hotel Myrtus; Hotel/Residence; Agropoli; 4 stelle residence piscina vicino spiaggia Trentova mid-family; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Hotel Mare,https://www.hotel-mare.com,https://www.google.com/maps/search/?api=1&query=Hotel+Mare+Agropoli,Hotel,3,info@hotel-mare.com,,,2026-06-10,,No,Agropoli,Da analizzare,Da analizzare (no PageSpeed),Da analizzare,Incerto,2.0,Hotel sul mare in centro Via Michelangelo mid. | PageSpeed: perf=FAIL seo= bp=. Stack: n/d. Booking engine: non rilevato. Blog non verificato (0.5).,Hotel Mare; Hotel; Agropoli; Hotel sul mare in centro Via Michelangelo mid; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Hotel La Darsena Residence,https://www.ladarsenahotel.com,https://www.google.com/maps/search/?api=1&query=Hotel+La+Darsena+Residence+Agropoli,Hotel/Residence,3,,,,2026-06-10,,No,Agropoli,Da analizzare,Da analizzare (no PageSpeed),Da analizzare,Incerto,2.0,Lungomare San Marco residence fronte porto mid. | PageSpeed: perf=FAIL seo= bp=. Stack: n/d. Booking engine: non rilevato. Blog non verificato (0.5).,Hotel La Darsena Residence; Hotel/Residence; Agropoli; Lungomare San Marco residence fronte porto mid; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Hotel Ristorante Il Ceppo,https://www.hotelristoranteilceppo.com,https://www.google.com/maps/search/?api=1&query=Hotel+Ristorante+Il+Ceppo+Agropoli,Hotel/Ristorante,3,info@hotelristoranteilceppo.com,,,2026-06-10,,No,Agropoli,Da analizzare,Da analizzare (no PageSpeed),Da analizzare,Incerto,2.0,Storico dal 1976 cucina Slow Food km0 gastronomico. | PageSpeed: perf=FAIL seo= bp=. Stack: n/d. Booking engine: non rilevato. Blog non verificato (0.5).,Hotel Ristorante Il Ceppo; Hotel/Ristorante; Agropoli; Storico dal 1976 cucina Slow Food km0 gastronomico; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Grand Hotel Santa Maria,https://www.grandhotel-santamaria.it,https://www.google.com/maps/search/?api=1&query=Grand+Hotel+Santa+Maria+Santa+Maria+di+Castellabate,Hotel 4 stelle,3,info@ghsm.it,,,2026-06-10,,No,Santa Maria di Castellabate,Da analizzare,Da analizzare (no PageSpeed),Da analizzare,Incerto,2.0,54 camere vista mare spiaggia Pozzillo centro wellness upper. | PageSpeed: perf=FAIL seo= bp=. Stack: n/d. Booking engine: non rilevato. Blog non verificato (0.5).,Grand Hotel Santa Maria; Hotel 4 stelle; Santa Maria di Castellabate; 54 camere vista mare spiaggia Pozzillo centro wellness upper; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Hotel Villa Sirio,https://www.villasirio.it,https://www.google.com/maps/search/?api=1&query=Hotel+Villa+Sirio+Santa+Maria+di+Castellabate,Hotel dimora storica,3,,,,2026-06-10,,No,Santa Maria di Castellabate,Da analizzare,Da analizzare (no PageSpeed),Da analizzare,Incerto,2.0,4 stelle 34 camere dimora liberty fronte mare centro storico upscale. | PageSpeed: perf=FAIL seo= bp=. Stack: n/d. Booking engine: non rilevato. LUSSO(plus). Blog non verificato (0.5).,Hotel Villa Sirio; Hotel dimora storica; Santa Maria di Castellabate; 4 stelle 34 camere dimora liberty fronte mare centro storico upscale; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Prince Franklyn Hotel,https://www.franklyn-hotel.com,https://www.google.com/maps/search/?api=1&query=Prince+Franklyn+Hotel+Santa+Maria+di+Castellabate,Hotel 4 stelle,3,info@franklyn-hotel.com,,,2026-06-10,,No,Santa Maria di Castellabate,Da analizzare,Da analizzare (no PageSpeed),Da analizzare,Incerto,2.0,Piscina a 600m dal mare Contrada Longhe mid-upper. | PageSpeed: perf=FAIL seo= bp=. Stack: n/d. Booking engine: non rilevato. Blog non verificato (0.5).,Prince Franklyn Hotel; Hotel 4 stelle; Santa Maria di Castellabate; Piscina a 600m dal mare Contrada Longhe mid-upper; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Hotel Costa d'Oro,https://www.hotelcostadoro.it,https://www.google.com/maps/search/?api=1&query=Hotel+Costa+d%27Oro+Santa+Maria+di+Castellabate,Hotel 3 stelle,3,info@hotelcostadoro.it,,,2026-06-10,,No,Santa Maria di Castellabate,Da analizzare,Da analizzare (no PageSpeed),Da analizzare,Incerto,2.0,Direttamente sul mare spiaggia privata Lungomare Bracale mid. | PageSpeed: perf=FAIL seo= bp=. Stack: n/d. Booking engine: non rilevato. Blog non verificato (0.5).,Hotel Costa d'Oro; Hotel 3 stelle; Santa Maria di Castellabate; Direttamente sul mare spiaggia privata Lungomare Bracale mid; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
New Hotel Sonia,http://www.hotelsonia.it,https://www.google.com/maps/search/?api=1&query=New+Hotel+Sonia+San+Marco+di+Castellabate,Hotel 4 stelle,3,info@hotelsonia.it,,,2026-06-10,,No,San Marco di Castellabate,Da analizzare,Da analizzare (no PageSpeed),Da analizzare,Incerto,2.0,37 camere vista mare fronte spiaggia ristorante mid-upper. | PageSpeed: perf=FAIL seo= bp=. Stack: n/d. Booking engine: non rilevato. Blog non verificato (0.5).,New Hotel Sonia; Hotel 4 stelle; San Marco di Castellabate; 37 camere vista mare fronte spiaggia ristorante mid-upper; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Hotel Acciaroli,https://hotelacciaroli.it,https://www.google.com/maps/search/?api=1&query=Hotel+Acciaroli+Acciaroli,Hotel,3,info@hotelacciaroli.it,,,2026-06-10,,No,Acciaroli,Da analizzare,Da analizzare (no PageSpeed),Da analizzare,Incerto,2.0,Vicino spiaggia bandiera blu giardino terrazza Via Nicotera mid. | PageSpeed: perf=FAIL seo= bp=. Stack: n/d. Booking engine: non rilevato. Blog non verificato (0.5).,Hotel Acciaroli; Hotel; Acciaroli; Vicino spiaggia bandiera blu giardino terrazza Via Nicotera mid; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
