area	citta	name	url	perf	seo	bp	stack	booking	images
Isole del Golfo	Ischia Porto	Hotel Mareblu Terme	https://www.hotelmareblu.it	79	100	96	core-js		https://www.hotelmareblu.it/inc/scripts/source/www.hotelmareblu.it/crp450x800-sf-mobi.jpg?f=webp&v=1777905207.jpg https://www.hotelmareblu.it/inc/scripts/source/www.hotelmareblu.it/crp450x800-sf-footer.jpg?f=webp&v=1777905207.jpg https://www.hotelmareblu.it/inc/scripts/source/www.hotelmareblu.it/crp450x764-sf-room-home.jpg?f=webp&v=1777905207.jpg
Isole del Golfo	Ischia Porto	Grand Hotel Il Moresco	https://ilmoresco.it	68	100	96	wordpress|jQuery|jQuery UI|WordPress|core-js		https://ilmoresco.it/wp-content/uploads/2025/07/Continental-Mare-colorato-verticale.svg https://ilmoresco.it/wp-content/uploads/2025/07/ischia.webp
Isole del Golfo	Casamicciola Terme	Hotel Terme Manzi	https://hoteltermemanzi.it	48	92	92	jQuery|WebFont Loader|core-js		
Isole del Golfo	Casamicciola Terme	Hotel Villa Sirena	https://www.hotelvillasirena.it	49	92	100	wordpress|jQuery|jQuery UI|WordPress|core-js		https://www.hotelvillasirena.it/wp-content/plugins/sitepress-multilingual-cms/res/flags/en.svg?x83742 https://www.hotelvillasirena.it/wp-content/plugins/sitepress-multilingual-cms/res/flags/fr.svg?x83742 https://www.hotelvillasirena.it/wp-content/plugins/sitepress-multilingual-cms/res/flags/it.svg?x83742
Isole del Golfo	Lacco Ameno	Albergo della Regina Isabella	https://www.reginaisabella.com	77	100	77		blastness	https://www.reginaisabella.com/templates/custom/assets/images/decor.png
Isole del Golfo	Lacco Ameno	San Montano Resort & Spa	https://www.sanmontano.com	52	85	100	wordpress|jQuery|WordPress|core-js		https://www.sanmontano.com/wp-content/themes/sanmontano/assets/images/home/ischia-panorama-restort-san-montano.jpg https://www.sanmontano.com/wp-content/uploads/2021/07/hotel-ischia-san-montano-ingresso.jpg https://www.sanmontano.com/wp-content/uploads/2021/03/hotel-san-montano-ischia-vista-piscina.jpg
Isole del Golfo	Lacco Ameno	Grand Hotel delle Terme di Augusto	https://www.termediaugusto.it	84	100	96	jQuery|core-js		https://www.termediaugusto.it/source/drag.png https://www.termediaugusto.it/inc/scripts/source/www.termediaugusto.it/crp450x330-sf-index-1.jpg?f=webp&v=1780664299.jpg https://www.termediaugusto.it/inc/scripts/source/www.termediaugusto.it/crp450x300-index-1.jpg?f=webp&v=1780664299.jpg
Isole del Golfo	Lacco Ameno	Park Hotel Terme Michelangelo	https://www.hotelmichelangeloischia.it	56	92	96	Bootstrap|jQuery		https://www.hotelmichelangeloischia.it/catalog/view/theme/hotel/image/svg/BASE-stemma.png https://www.hotelmichelangeloischia.it/catalog/view/theme/hotel/image/svg/tel.svg https://www.hotelmichelangeloischia.it/catalog/view/theme/hotel/image/svg/email.svg
Isole del Golfo	Forio	Hotel Tritone Resort & Spa	https://www.hoteltritoneischia.it	63	92	96	wordpress|Bootstrap|jQuery|jQuery UI|FlexSlider|WordPress|co		https://www.hoteltritoneischia.it/wp-content/uploads/2024/11/video_cover.jpg https://www.hoteltritoneischia.it/wp-content/uploads/2023/07/79A3695_DxO-cut-1366x682.jpg
Isole del Golfo	Forio	Hotel Paradiso Terme Resort & Spa	https://www.hotelparadisoischia.com	68	100	96	react|React|Lo-Dash|RequireJS		
Isole del Golfo	Forio	Park Hotel Terme Mediterraneo	https://www.hotelmediterraneo.it	28	92	65	jQuery|Preact|core-js		https://www.hotelmediterraneo.it/source/img-lingue.png https://www.hotelmediterraneo.it/source/back.png https://www.hotelmediterraneo.it/source/ico-tel-mobi.png
Isole del Golfo	Forio	Hotel Terme Providence	https://www.providence.it	59	100	92	jQuery|core-js		https://www.providence.it/inc/scripts/source/www.providence.it/crp767x820-top-index-1.jpg?v=1779551500 https://www.providence.it/inc/scripts/source/www.providence.it/crp767x820-top-index-2.jpg?v=1779551500 https://www.providence.it/inc/scripts/source/www.providence.it/crp767x820-top-index-3.jpg?v=1779551500
Isole del Golfo	Forio	Il Gattopardo Hotel Terme & Beauty Farm	https://www.ilgattopardo.com	59	92	77	LitElement|lit-html|Google Maps|jQuery|jQuery UI		https://www.ilgattopardo.com/ownimage/res_1000*666_20225915272215.jpg https://www.ilgattopardo.com/ownimage/res_201662011342177.jpg https://www.ilgattopardo.com/ownimage/res_2016620112450.jpg
Isole del Golfo	Serrara Fontana	Hotel Torre Sant'Angelo	https://www.torresantangelo.com	39	92	96	Bootstrap|jQuery|jQuery UI|Leaflet|jQuery Mobile|Moment.js|c		https://www.torresantangelo.com/data/sfondo-menu.jpg https://www.torresantangelo.com/plugins/img/png/chiudipopup.png https://www.torresantangelo.com/data/1920/ischia1.jpg
Isole del Golfo	Serrara Fontana	Hotel Villa Maria Sant'Angelo	https://en.villamariasantangelo.it	66	100	77	wordpress|jQuery|WordPress|core-js		https://villamariasantangelo.it//wp-content/uploads/MENU-WHT.png https://villamariasantangelo.it//wp-content/uploads/MENU-CLOSE.png https://villamariasantangelo.it//wp-content/uploads/hotel-villa-maria-sant-angelo-ischia-le-terrazze-01.jpg
Isole del Golfo	Barano d'Ischia	Hotel Terme Saint Raphael	https://www.hotelsaintraphaelischia.it	74	100	96	jQuery|core-js		https://www.hotelsaintraphaelischia.it/source/no-img.png https://www.hotelsaintraphaelischia.it/ATImg/social/feedback/facebook.png https://www.hotelsaintraphaelischia.it/ATImg/social/feedback/tripadvisor.png
Isole del Golfo	Capri	Grand Hotel Quisisana	https://www.quisisana.com	75	92	77	jQuery|jQuery UI	blastness	https://www.quisisana.com/templates/grandhotelquisisana_2022/assets/newassets/key-green.png
Isole del Golfo	Capri	Capri Tiberio Palace	https://www.capritiberiopalace.it	80	77	88	jQuery|jQuery UI|Modernizr|yepnope|FlexSlider	triptease	https://www.capritiberiopalace.it/images/ico_main_menu.png https://www.capritiberiopalace.it/images/ico_main_menu2.png https://www.capritiberiopalace.it/images/freccia.png
Isole del Golfo	Capri	Hotel Punta Tragara	https://www.manfredihotels.com/en/punta-tragara	42	77	46	wordpress|Bootstrap|jQuery|jQuery UI|boomerang.js|WordPress		https://www.manfredihotels.com/wp-content/themes/shopbiz-lite/images/phone.png https://www.manfredihotels.com/wp-content/themes/shopbiz-lite/images/map.png https://www.manfredihotels.com/wp-content/uploads/2020/03/Ico_Michelin-Star.png
Isole del Golfo	Capri	Hotel La Scalinatella	https://www.scalinatella.com	42	100	100	drupal|jQuery|Drupal		https://scalinatella.com/themes/custom/scalinatella/img/home/Piscina-vista-mare.webp https://scalinatella.com/themes/custom/scalinatella/img/home/Ristorante-Capri-Casa-Morgano.webp https://scalinatella.com/themes/custom/scalinatella/img/home/Ristorante-Scalinatella-Capri.webp
Isole del Golfo	Capri	Hotel Villa Brunella	https://www.villabrunella.it	37	100	100	jQuery|MooTools|Leaflet|WebFont Loader		https://www.villabrunella.it/images/header_1.jpg https://www.villabrunella.it/images/hero_1.jpg https://www.villabrunella.it/images/banner-location.jpg
Isole del Golfo	Capri	Villa Marina Capri Hotel & Spa	https://www.villamarinacapri.com	67	85	96	wordpress|jQuery|WordPress		https://www.villamarinacapri.com/wp-content/uploads/2023/06/wellnessTop-768x512.jpg https://www.villamarinacapri.com/wp-content/uploads/2023/10/DSC00097-480x330.jpg https://www.villamarinacapri.com/wp-content/uploads/2023/10/ravioli-480x349.jpg
Isole del Golfo	Anacapri	Hotel Caesar Augustus	https://www.caesar-augustus.com	54	100	96	MooTools|Leaflet|WebFont Loader|core-js		https://www.caesar-augustus.com/images/hero4.jpg https://www.caesar-augustus.com/inc/img/conde-nast-award-2024@2x.png https://www.caesar-augustus.com/images/hero1.jpg
Isole del Golfo	Anacapri	Casa Mariantonia	https://www.casamariantonia.com	42	92	96	MooTools|Leaflet|WebFont Loader		https://www.casamariantonia.com/images/h-index-01c.jpg https://www.casamariantonia.com/images/h-index-02c.jpg https://www.casamariantonia.com/images/h-index-03c.jpg
Isole del Golfo	Anacapri	Villa Ceselle	https://www.villaceselle.com	44	92	96	MooTools|Leaflet|WebFont Loader|core-js		https://www.villaceselle.com/images/h-home.jpg https://www.villaceselle.com/images/2_b.jpg https://www.villaceselle.com/images/3_b.jpg
Isole del Golfo	Capri	Motoscafisti di Capri	https://www.motoscafisticapri.com	59	92	100	Leaflet|Lo-Dash|core-js		https://www.motoscafisticapri.com/build/images/markers-shadow@2x.dfc8c849.png https://www.motoscafisticapri.com/build/images/markers-soft@2x.1f2cc179.png
Isole del Golfo	Capri	Gianni's Boat	https://www.giannisboat.com	49	83	62	MooTools|WebFont Loader|core-js		https://www.giannisboat.com/images/gianni-1.png https://www.giannisboat.com/images/1b_t.jpg https://www.giannisboat.com/images/g1_t.jpg
Isole del Golfo	Capri	Capri Precious	https://en.capriprecious.com	37	100	57	react|React|Lo-Dash|RequireJS|core-js	fareharbor	
Isole del Golfo	Capri	Capri Mia Boat Tours	https://www.caprimiaboattours.com	39	100	100	wordpress|jQuery|Isotope|Moment.js|WordPress		https://www.caprimiaboattours.com/wp-content/uploads/2022/05/249176842_341417177849893_6291576449599788306_n.jpg https://www.caprimiaboattours.com/wp-content/plugins/instagram-feed/img/placeholder.png https://www.caprimiaboattours.com/wp-content/themes/Divi/includes/builder/styles/images/preloader.gif
Isole del Golfo	Capri	Ciro Capri Boats	https://www.cirosboat.com	43	92	92	Bootstrap|jQuery|jQuery UI|Isotope|FlexSlider|core-js		https://www.cirosboat.com/imag/foto/slide/capriboats%20(18).jpg https://www.cirosboat.com/imag/ciro%20aliperta.jpg https://www.cirosboat.com/imag/trip%20boat.jpg
Isole del Golfo	Procida	Hotel Savoia	https://www.hotelsavoiaprocida.com	FAIL					
Isole del Golfo	Procida	La Suite Boutique Hotel & Spa	https://www.lasuiteresort.com	51	83	88	wordpress|jQuery|jQuery UI|Moment.js|WordPress|core-js	krossbooking	https://www.lasuiteresort.com/wp-content/uploads/2018/01/facebook.png https://www.lasuiteresort.com/wp-content/uploads/2018/01/instagram.png https://www.lasuiteresort.com/wp-content/uploads/2018/01/suite-superior-1-300x141.jpg
Isole del Golfo	Procida	Hotel La Corricella	https://www.hotelcorricella.it	56	82	77	angular|Bootstrap|LitElement|lit-html|Google Maps|jQuery|Lo-	beddy	http://www.hotelcorricella.it/assets/img/gallery-2.jpg http://www.hotelcorricella.it/assets/img/gallery-3.jpg http://www.hotelcorricella.it/assets/img/gallery-4.jpg
Isole del Golfo	Procida	Hotel La Casa sul Mare	https://www.lacasasulmare.it	28	85	96	wordpress|angular|LitElement|lit-html|Google Maps|jQuery|Mod	beddy	https://www.lacasasulmare.it/wp-content/plugins/sitepress-multilingual-cms/res/flags/it.png https://www.lacasasulmare.it/wp-content/plugins/sitepress-multilingual-cms/res/flags/en.png https://www.lacasasulmare.it/wp-content/uploads/2015/06/colazione-255x170.jpg
Isole del Golfo	Procida	San Michele Boutique Hotel	https://sanmicheleprocida.com	40	75	92	wordpress|Bootstrap|jQuery|jQuery UI|Moment.js|WordPress|cor	krossbooking	https://sanmicheleprocida.com/wp/wp-content/uploads/2018/01/facebook.png https://sanmicheleprocida.com/wp/wp-content/uploads/2018/01/instagram.png https://sanmicheleprocida.com/wp/wp-content/uploads/2022/03/sanmicheleprocida_Ristorante_1DX_0366-2-1200x800.jpg
Isole del Golfo	Procida	Vi.Ta Procida Rooms	https://vitaprocidarooms.it	64	92	100	wordpress|jQuery|jQuery UI|Underscore|WordPress|core-js		https://vitaprocidarooms.it/wp-content/uploads/2021/11/Vi.ta-22.png https://vitaprocidarooms.it/wp-content/uploads/2023/02/WhatsApp-Image-2023-01-27-at-18.50.18-1-e1676205357987-768x766.jpeg https://vitaprocidarooms.it/wp-content/uploads/2023/03/procida-island-italy-768x512.jpg
Isole del Golfo	Procida	B&B Il Patio	https://www.bbilpatio.it	70	100	96			
Isole del Golfo	Procida	Pro Loco di Procida	http://www.prolocodiprocida.it	100	80	74			
