area	citta	name	url	perf	seo	bp	stack	booking	images
Costiera Amalfitana	Salerno	Hotel Polo Nautico	https://www.hotelpolonautico.it	62	77	100	jQuery|jQuery UI|jQuery Mobile		https://www.hotelpolonautico.it/images/public/slider/mobile-big/dji00088_1657011107.png https://www.hotelpolonautico.it/images/public/slider/mobile-big/dji00022_1657010880.png https://www.hotelpolonautico.it/images/public/slider/mobile-big/terrazza_1657011198.jpg
Salerno	Salerno	Albergo Santa Rosa	https://www.albergosantarosa.it	57	92	77	wordpress|jQuery|jQuery Mobile|WordPress		https://www.albergosantarosa.it/wp-content/plugins/sitepress-multilingual-cms/res/flags/it.png https://www.albergosantarosa.it/wp-content/plugins/sitepress-multilingual-cms/res/flags/en.png https://www.albergosantarosa.it/wp-content/uploads/2018/12/bed-breakfast.png
Salerno	Salerno	Hotel Montestella 1914	https://montestella1914.it	49	85	81	wordpress|jQuery|jQuery UI|Modernizr|Underscore|Isotope|Mome	bedzzle	https://www.hotelmontestella.it/s5/wp-content/uploads/2025/09/firma-riccardo.jpg https://www.hotelmontestella.it/s5/wp-content/uploads/2025/07/175720016.jpg https://www.hotelmontestella.it/s5/wp-content/uploads/2025/07/175720015.jpg
Salerno	Salerno	Grand Hotel Salerno	https://www.grandhotelsalerno.com	49	85	73	wordpress|jQuery|jQuery UI|Isotope|WordPress		https://www.grandhotelsalerno.com/wp-content/plugins/polylang/flags/it.png https://www.grandhotelsalerno.com/wp-content/plugins/polylang/flags/gb.png https://www.grandhotelsalerno.com/wp-content/uploads/2020/10/hotel_stelle-01.png
Salerno	Salerno	Albergo del Centro Storico	http://albergodelcentrostorico.com	86	100	78	wordpress|nitropack|WordPress|NitroPack		
Salerno	Salerno	B&B Salerno Antica	https://www.salernoantica.com	34	100	57	wordpress|jQuery|jQuery UI|Underscore|Can|WordPress|core-js		https://www.salernoantica.com/wp-content/uploads/2020/08/Risorsa-3.png https://www.salernoantica.com/wp-content/uploads/2024/03/Progetto-senza-titolo-28-768x461.jpg https://www.salernoantica.com/wp-content/uploads/2024/03/Progetto-senza-titolo-3-1-768x461.jpg
Salerno	Salerno	B&B In Centro Storico Salerno	https://www.incentrostoricosalerno.it	43	85	96	wordpress|jQuery|jQuery UI|Can|WordPress|core-js		https://www.incentrostoricosalerno.it/wp-content/uploads/2019/11/slider02.jpg https://www.incentrostoricosalerno.it/wp-content/uploads/2019/11/slider01.jpg https://www.incentrostoricosalerno.it/wp-content/uploads/2019/11/slider03.jpg
Salerno	Salerno	Salerno Centro dimora storica	https://www.salernocentro.it	88	85	96	wordpress|jQuery|WordPress		https://www.salernocentro.it/wp-content/themes/w-salerno/img/it.png https://www.salernocentro.it/wp-content/themes/w-salerno/img/en.png https://www.salernocentro.it/wp-content/themes/w-salerno/img/it-b.png
Salerno	Salerno	Salerno Incoming DMC	https://www.salernoincoming.it	68	100	54	wordpress|jQuery|WordPress|core-js	fareharbor	https://www.salernoincoming.it/wp-content/uploads/2025/02/Button_Chat__1.webp https://www.salernoincoming.it/wp-content/uploads/2025/02/Button_UK__1.webp https://www.salernoincoming.it/wp-content/themes/lightreal/assets/images/agentsiocn-red.png
Salerno	Salerno	Campania Incoming	https://www.campaniaincoming.it	70	91	73	react|Bootstrap|jQuery|React		https://www.campaniaincoming.it/images/lang/it.png https://www.campaniaincoming.it/images/lang/en.png https://www.campaniaincoming.it/images/lang/es.png
Salerno	Cava de' Tirreni	Hotel Scapolatiello	https://www.hotelscapolatiello.it	65	85	77	wordpress|jQuery|jQuery UI|WordPress|core-js		https://hotelscapolatiello.it/wp-content/plugins/sitepress-multilingual-cms/res/flags/en.svg https://hotelscapolatiello.it/wp-content/plugins/sitepress-multilingual-cms/res/flags/it.svg https://hotelscapolatiello.it/wp-content/uploads/2025/08/HS_Late-checkout.webp
Salerno	Cava de' Tirreni	Hotel Victoria Maiorino	http://www.victoria-hotel.it	49	92	70	wordpress|LitElement|lit-html|Google Maps|jQuery|jQuery UI|W		http://www.victoria-hotel.it/wp-content/themes/victoriatema/images/languages/it.png http://www.victoria-hotel.it/wp-content/plugins/sitepress-multilingual-cms/res/flags/en.png http://www.victoria-hotel.it/wp-content/plugins/sitepress-multilingual-cms/res/flags/fr.png
Salerno	Cava de' Tirreni	Montecaruso Hotel Diecimare	https://montecaruso.it	63	100	92	wordpress|jQuery|Underscore|WordPress		https://montecaruso.it/wp-content/plugins/sitepress-multilingual-cms/res/flags/en.png https://montecaruso.it/wp-content/uploads/sites/19/2021/12/Colazione-1-768x413.png https://montecaruso.it/wp-content/uploads/sites/19/2021/12/Secondo-mare-2-768x413.png
