Region,Nome_Azienda,Email,Status,Data_Contatto,URL_Sito,Categoria,Priorita,Link_Demo,Contattato
Cilento,San Francesco Resort,info@sanfrancescoresort.com,Draft_Created,,https://www.sanfrancescoresort.com,Hotel/Resort SPA,1,,No
Cilento,Hotel Myrtus,info@hotelmyrtus.it,Draft_Created,,https://www.hotelmyrtus.it,Hotel/Residence,2,,No
Cilento,Hotel Mare,info@hotel-mare.com,Draft_Created,,https://www.hotel-mare.com,Hotel,2,,No
Cilento,Hotel La Darsena Residence,,Non_Contacted,,https://www.ladarsenahotel.com,Hotel/Residence,3,,No
Cilento,Hotel Ristorante Il Ceppo,info@hotelristoranteilceppo.com,Draft_Created,,https://www.hotelristoranteilceppo.com,Hotel/Ristorante,3,,No
Cilento,Grand Hotel Santa Maria,info@ghsm.it,Draft_Created,,https://www.grandhotel-santamaria.it,Hotel 4 stelle,3,,No
Cilento,Hotel Villa Sirio,,Non_Contacted,,https://www.villasirio.it,Hotel dimora storica,2,,No
Cilento,Prince Franklyn Hotel,info@franklyn-hotel.com,Draft_Created,,https://www.franklyn-hotel.com,Hotel 4 stelle,2,,No
Cilento,Hotel Costa d'Oro,info@hotelcostadoro.it,Draft_Created,,https://www.hotelcostadoro.it,Hotel 3 stelle,2,,No
Cilento,New Hotel Sonia,info@hotelsonia.it,Draft_Created,,http://www.hotelsonia.it,Hotel 4 stelle,3,,No
Cilento,Hotel Acciaroli,info@hotelacciaroli.it,Draft_Created,,https://hotelacciaroli.it,Hotel,3,,No
Cilento,Hotel La Playa,info@hotellaplayaacciaroli.it,Draft_Created,,https://www.hotellaplayaacciaroli.it,Hotel,2,,No
Cilento,Hotel La Vela,info@lavelapioppi.com,Draft_Created,,https://www.lavelapioppi.com,Hotel,2,,No
Cilento,Mec Paestum Hotel,info@mechotel.com,Draft_Created,,https://www.mechotel.com,Hotel 5 stelle,1,,No
Cilento,L'Araba Fenice Hotel & Resort,reception@arabafenicespa.com,Draft_Created,,https://www.arabafenicespa.com,Resort SPA 5 stelle,1,,No
Cilento,Savoy Hotel & Spa Pagano,info@savoyhotelspa.it,Draft_Created,,https://www.paganopaestum.it,Hotel SPA,2,,No
Cilento,Hotel Schuhmann,info@hotelschuhmann.com,Draft_Created,,https://www.hotelschuhmann.com,Hotel 4 stelle,2,,No
Cilento,Paestum Inn Beach Resort,info@paestuminn.com,Draft_Created,,https://paestuminn.com,Resort/Villaggio 4 stelle,4,,No
Cilento,Agriturismo Seliano,info@aziendabellelli.it,Draft_Created,,https://www.agriturismoseliano.it,Agriturismo,2,,No
Cilento,Il Cannito,,Non_Contacted,,https://www.ilcannito.com,Agriturismo/B&B,4,,No
Cilento,Ruggiero Park Hotel,info@ruggieroparkhotel.com,Draft_Created,,http://www.ruggieroparkhotel.com,Hotel 3 stelle,2,,No
Cilento,Cilentour ANBI Travel,info@cilentour.com,Draft_Created,,https://www.cilentour.com,Tour Operator,3,,No
Cilento,Discover Cilento,info@discovercilento.it,Draft_Created,,https://www.discovercilento.it,Tour Operator,2,,No
Cilento,ArcheoTrekking,info@archeotrekking.net,Draft_Created,,https://www.archeotrekking.net,Tour Operator,2,,No
Cilento,Hotel Saline,info@hotelsaline.com,Draft_Created,,https://www.hotelsaline.com,Hotel 4 stelle,2,,No
Cilento,Hotel Palinuro,info@hotelpalinuro.net,Draft_Created,,https://www.hotelpalinuro.net,Hotel 3 stelle,2,,No
