Nome_Azienda,URL_Sito,Google_Business_Link,Categoria,Priorita,Email,Telefono,WhatsApp,Immagini,Link_Demo,Data_Generazione,Data_Contatto,Contattato,Citta,Sito_Pre2020,Mobile_Friendly,Channel_Manager,Blog,Criteri_Soddisfatti,Note,Brief_Demo_OpenClaw
San Francesco Resort,https://www.sanfrancescoresort.com,https://www.google.com/maps/search/?api=1&query=San+Francesco+Resort+Agropoli,Hotel/Resort SPA,1,info@sanfrancescoresort.com,+39 0974 270997,,https://www.sanfrancescoresort.com/wp-content/uploads/2018/04/CAMERA.jpg https://www.sanfrancescoresort.com/wp-content/uploads/2018/04/SPA.jpg https://www.sanfrancescoresort.com/wp-content/uploads/2018/05/slider_2_111-1920x675.jpg,https://naplesexperiences-netizen.github.io/experiences-demos/demos/san-francesco-resort-experiences-standard/,2026-06-20,2026-06-16,Sì,Agropoli,Incerto (stack classico),Sì (SEO 92),No (non rilevato),Incerto,4.0,4 stelle ex convento XII sec SPA wellness terrazza vista mare upper. | PageSpeed: perf=51 seo=92 bp=92. Stack: wordpress|jQuery|WordPress|core-js. Booking engine: non rilevato. Blog non verificato (0.5).,San Francesco Resort; Hotel/Resort SPA; Agropoli; 4 stelle ex convento XII sec SPA wellness terrazza vista mare upper; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Hotel Myrtus,https://www.hotelmyrtus.it,https://www.google.com/maps/search/?api=1&query=Hotel+Myrtus+Agropoli,Hotel/Residence,2,info@hotelmyrtus.it,+39 0974 357775 / +39 388 8044596,https://wa.me/393888044596,https://myrtusagropoli.it/web/wp-content/uploads/appartamenti-home-980x653.webp https://myrtusagropoli.it/web/wp-content/uploads/parco-archeologico-paestum-escursioni-11-980x654.webp https://myrtusagropoli.it/web/wp-content/uploads/myrtus-gallery-07-980x653.webp,https://naplesexperiences-netizen.github.io/experiences-demos/demos/hotel-myrtus-experiences-standard/,2026-06-20,2026-06-16,Sì,Agropoli,Incerto (stack classico),Sì (SEO 92),No (non rilevato),Incerto,3.0,4 stelle residence piscina vicino spiaggia Trentova mid-family. | PageSpeed: perf=57 seo=92 bp=100. Stack: wordpress|jQuery|jQuery Mobile|WordPress. Booking engine: non rilevato. Blog non verificato (0.5).,Hotel Myrtus; Hotel/Residence; Agropoli; 4 stelle residence piscina vicino spiaggia Trentova mid-family; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Hotel Mare,https://www.hotel-mare.com,https://www.google.com/maps/search/?api=1&query=Hotel+Mare+Agropoli,Hotel,2,info@hotel-mare.com,+39 0974 823666,,https://www.hotel-mare.com/wp-content/uploads/2017/05/IMG_1086-1700x449.jpg https://www.hotel-mare.com/wp-content/uploads/2017/05/IMG_0953-1700x449.jpg https://www.hotel-mare.com/wp-content/uploads/2017/05/IMG_0940-1700x449.jpg,https://naplesexperiences-netizen.github.io/experiences-demos/demos/hotel-mare-experiences-standard/,2026-06-20,2026-06-16,Sì,Agropoli,Sì (probabile),Sì (SEO 92),No (non rilevato),Incerto,3.5,Hotel sul mare in centro Via Michelangelo mid. | PageSpeed: perf=56 seo=92 bp=96. Stack: wordpress|jQuery|jQuery UI|WordPress. Booking engine: non rilevato. Blog non verificato (0.5).,Hotel Mare; Hotel; Agropoli; Hotel sul mare in centro Via Michelangelo mid; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Hotel La Darsena Residence,https://www.ladarsenahotel.com,https://www.google.com/maps/search/?api=1&query=Hotel+La+Darsena+Residence+Agropoli,Hotel/Residence,3,,+39 0974 838071,,https://www.ladarsenahotel.com/lib/img/bandiere/it.gif https://www.ladarsenahotel.com/lib/img/bandiere/en.gif https://www.ladarsenahotel.com/public/finder/immagini/hp_reception.jpg,https://naplesexperiences-netizen.github.io/experiences-demos/demos/hotel-la-darsena-residence-experiences-standard/,2026-06-20,,No,Agropoli,Incerto (stack classico),Parziale (SEO 83),Sì (bedzzle),Incerto,2.0,Lungomare San Marco residence fronte porto mid. | PageSpeed: perf=66 seo=83 bp=73. Stack: Bootstrap|jQuery|Moment.js. Booking engine: bedzzle. Blog non verificato (0.5).,Hotel La Darsena Residence; Hotel/Residence; Agropoli; Lungomare San Marco residence fronte porto mid; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Hotel Ristorante Il Ceppo,https://www.hotelristoranteilceppo.com,https://www.google.com/maps/search/?api=1&query=Hotel+Ristorante+Il+Ceppo+Agropoli,Hotel/Ristorante,3,info@hotelristoranteilceppo.com,+39 0974 843044,,https://www.hotelristoranteilceppo.com/images/loader.png https://www.hotelristoranteilceppo.com/public/testi_sezioni/big/7.jpg https://www.hotelristoranteilceppo.com/public/testi_sezioni/big/8.jpg,https://naplesexperiences-netizen.github.io/experiences-demos/demos/hotel-ristorante-il-ceppo-experiences-standard/,2026-06-20,2026-06-16,Sì,Agropoli,Incerto,Parziale (SEO 82),Sì (beddy),Incerto,2.0,Storico dal 1976 cucina Slow Food km0 gastronomico. | PageSpeed: perf=46 seo=82 bp=96. Stack: angular|jQuery|Modernizr|Lo-Dash|Angular|FlexSlider|core-js. Booking engine: beddy. Blog non verificato (0.5).,Hotel Ristorante Il Ceppo; Hotel/Ristorante; Agropoli; Storico dal 1976 cucina Slow Food km0 gastronomico; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Grand Hotel Santa Maria,https://www.grandhotel-santamaria.it,https://www.google.com/maps/search/?api=1&query=Grand+Hotel+Santa+Maria+Santa+Maria+di+Castellabate,Hotel 4 stelle,3,info@ghsm.it,+39 0974 961001,,https://www.grandhotel-santamaria.it/wp-content/uploads/2026/03/panoramica-grand-hotel-santa-maria.webp https://www.grandhotel-santamaria.it/wp-content/uploads/2026/05/affaccio-sul-mare-ghsm-cilento-1.webp https://www.grandhotel-santamaria.it/wp-content/uploads/2026/05/suites-sul-mare-ghsm-cilento.webp https://www.grandhotel-santamaria.it/wp-content/uploads/2026/02/poseidonia-spa-grand-hotel-santa-maria.webp https://www.grandhotel-santamaria.it/wp-content/uploads/2026/03/blue-terrace-bar-grand-hotel-santa-maria.webp https://www.grandhotel-santamaria.it/wp-content/uploads/2026/02/cucina-cilento-grand-hotel-santa-maria.webp https://www.grandhotel-santamaria.it/wp-content/uploads/2026/02/barche-castellabate-grand-hotel-santa-maria.webp https://www.grandhotel-santamaria.it/wp-content/uploads/2026/03/vista-mare-grand-hotel-santa-maria-768x513.webp,https://naplesexperiences-netizen.github.io/experiences-demos/demos/grand-hotel-santa-maria-experiences-standard/,2026-06-20,,No,Santa Maria di Castellabate,No,Sì (SEO 100),Sì (simplebooking),Incerto,2.5,54 camere vista mare spiaggia Pozzillo centro wellness upper. | PageSpeed: perf=54 seo=100 bp=100. Stack: wordpress|jQuery|jQuery UI|WordPress|core-js. Booking engine: simplebooking. Blog non verificato (0.5).,Grand Hotel Santa Maria; Hotel 4 stelle; Santa Maria di Castellabate; 54 camere vista mare spiaggia Pozzillo centro wellness upper; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Hotel Villa Sirio,https://www.villasirio.it,https://www.google.com/maps/search/?api=1&query=Hotel+Villa+Sirio+Santa+Maria+di+Castellabate,Hotel dimora storica,2,,+39 0974 961099,,https://www.villasirio.it/wp-content/uploads/2026/03/G0A2328.jpg https://www.villasirio.it/wp-content/uploads/2026/03/Villa-Sirio-00007.jpg https://www.villasirio.it/wp-content/uploads/2026/03/Villa-Sirio-00021.jpg,https://naplesexperiences-netizen.github.io/experiences-demos/demos/hotel-villa-sirio-experiences-standard/,2026-06-20,,No,Santa Maria di Castellabate,Sì (probabile),Sì (SEO 92),No (non rilevato),Incerto,3.5,4 stelle 34 camere dimora liberty fronte mare centro storico upscale. | PageSpeed: perf=60 seo=92 bp=100. Stack: wordpress|jQuery|jQuery UI|WordPress|core-js. Booking engine: non rilevato. LUSSO(plus). Blog non verificato (0.5).,Hotel Villa Sirio; Hotel dimora storica; Santa Maria di Castellabate; 4 stelle 34 camere dimora liberty fronte mare centro storico upscale; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Prince Franklyn Hotel,https://www.franklyn-hotel.com,https://www.google.com/maps/search/?api=1&query=Prince+Franklyn+Hotel+Santa+Maria+di+Castellabate,Hotel 4 stelle,2,info@franklyn-hotel.com,+39 0974 965348 / +39 335 1997565,https://wa.me/393351997565,https://www.franklyn-hotel.com/wp-content/uploads/2022/12/Offerta-Estate-2025-980x980.jpg https://www.franklyn-hotel.com/wp-content/uploads/2018/12/spumante-1-768x510.png https://www.franklyn-hotel.com/wp-content/uploads/2022/12/27973509-980x654.jpg,https://naplesexperiences-netizen.github.io/experiences-demos/demos/prince-franklyn-hotel-experiences-standard/,2026-06-17,,No,Santa Maria di Castellabate,Incerto (stack classico),Sì (SEO 100),No (non rilevato),Incerto,3.0,Piscina a 600m dal mare Contrada Longhe mid-upper. | PageSpeed: perf=39 seo=100 bp=50. Stack: wordpress|jQuery|jQuery Mobile|WordPress|core-js. Booking engine: non rilevato. Blog non verificato (0.5).,Prince Franklyn Hotel; Hotel 4 stelle; Santa Maria di Castellabate; Piscina a 600m dal mare Contrada Longhe mid-upper; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Hotel Costa d'Oro,https://www.hotelcostadoro.it,https://www.google.com/maps/search/?api=1&query=Hotel+Costa+d%27Oro+Santa+Maria+di+Castellabate,Hotel 3 stelle,2,info@hotelcostadoro.it,+39 0974 961015 / +39 339 2811365,https://wa.me/393392811365,https://www.hotelcostadoro.it/images/lin_italiano.gif https://www.hotelcostadoro.it/images/lin_english.gif https://www.hotelcostadoro.it/images/slide1.jpg,https://naplesexperiences-netizen.github.io/experiences-demos/demos/hotel-costa-doro-experiences-standard/,2026-06-17,,No,Santa Maria di Castellabate,Sì (probabile),Sì (SEO 92),No (non rilevato),Incerto,3.5,Direttamente sul mare spiaggia privata Lungomare Bracale mid. | PageSpeed: perf=26 seo=92 bp=50. Stack: Bootstrap|jQuery|Modernizr|yepnope|Isotope. Booking engine: non rilevato. Blog non verificato (0.5).,Hotel Costa d'Oro; Hotel 3 stelle; Santa Maria di Castellabate; Direttamente sul mare spiaggia privata Lungomare Bracale mid; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
New Hotel Sonia,http://www.hotelsonia.it,https://www.google.com/maps/search/?api=1&query=New+Hotel+Sonia+San+Marco+di+Castellabate,Hotel 4 stelle,3,info@hotelsonia.it,+39 0974 961172,,,https://naplesexperiences-netizen.github.io/experiences-demos/demos/new-hotel-sonia-experiences-standard/,2026-06-17,,No,San Marco di Castellabate,Da analizzare,Da analizzare (no PageSpeed),Da analizzare,Incerto,2.0,37 camere vista mare fronte spiaggia ristorante mid-upper. | PageSpeed: perf=FAIL seo= bp=. Stack: n/d. Booking engine: non rilevato. Blog non verificato (0.5).,New Hotel Sonia; Hotel 4 stelle; San Marco di Castellabate; 37 camere vista mare fronte spiaggia ristorante mid-upper; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Hotel Acciaroli,https://hotelacciaroli.it,https://www.google.com/maps/search/?api=1&query=Hotel+Acciaroli+Acciaroli,Hotel,3,info@hotelacciaroli.it,+39 0974 359921 / +39 351 3864121,https://wa.me/393513864121,https://hotelacciaroli.it/wp-content/uploads/2023/05/Hotel-Acciaroli-vista-dallalto.jpg https://hotelacciaroli.it/wp-content/uploads/2024/09/Orto-Hotel-Acciaroli.jpg https://hotelacciaroli.it/wp-content/plugins/wpforms/assets/pro/images/vendor/flags.webp,https://naplesexperiences-netizen.github.io/experiences-demos/demos/hotel-acciaroli-experiences-standard/,2026-06-20,2026-06-16,Sì,Acciaroli,No,Sì (SEO 100),No (non rilevato),Incerto,2.5,Vicino spiaggia bandiera blu giardino terrazza Via Nicotera mid. | PageSpeed: perf=68 seo=100 bp=96. Stack: wordpress|wp-rocket|react|jQuery|jQuery UI|React|Underscore|. Booking engine: non rilevato. Blog non verificato (0.5).,Hotel Acciaroli; Hotel; Acciaroli; Vicino spiaggia bandiera blu giardino terrazza Via Nicotera mid; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
