Nome_Azienda,URL_Sito,Google_Business_Link,Categoria,Priorita,Email,Telefono,WhatsApp,Immagini,Link_Demo,Data_Generazione,Data_Contatto,Contattato,Citta,Sito_Pre2020,Mobile_Friendly,Channel_Manager,Blog,Criteri_Soddisfatti,Note,Brief_Demo_OpenClaw
Hotel Polo Nautico,https://www.hotelpolonautico.it,https://www.google.com/maps/search/?api=1&query=Hotel+Polo+Nautico+Salerno,Hotel 4 stelle,2,,+39 089 711196 / +39 375 5620912,https://wa.me/393755620912,https://www.hotelpolonautico.it/images/public/slider/mobile-big/dji00088_1657011107.png https://www.hotelpolonautico.it/images/public/slider/mobile-big/dji00022_1657010880.png https://www.hotelpolonautico.it/images/public/slider/mobile-big/terrazza_1657011198.jpg,,2026-06-10,,No,Salerno,Sì (probabile),Parziale (SEO 77),No (non rilevato),Incerto,3.5,30 camere unico hotel sul lungomare di Salerno vista mare indipendente. | PageSpeed: perf=62 seo=77 bp=100. Stack: jQuery|jQuery UI|jQuery Mobile. Booking engine: non rilevato. Blog non verificato (0.5).,Hotel Polo Nautico; Hotel 4 stelle; Salerno; 30 camere unico hotel sul lungomare di Salerno vista mare indipendente; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Lloyd's Baia Hotel,https://www.lloydsbaiahotel.it,https://www.google.com/maps/search/?api=1&query=Lloyd%27s+Baia+Hotel+Vietri+sul+Mare,Hotel 4 stelle,3,info@lloydsbaiahotel.it,+39 089 7633111,,https://www.lloydsbaiahotel.it/wp-content/uploads/2026/06/PROMO_WEB_SITE--768x432.jpg https://www.lloydsbaiahotel.it/wp-content/plugins/alo-easymail/images/wpspin_light.gif https://www.lloydsbaiahotel.it/wp-content/themes/lloydsbaia/svg/fb_white.svg,,2026-06-10,,No,Vietri sul Mare,Sì (probabile),Sì (SEO 85),Sì (simplebooking),Incerto,2.5,Via de Marinis 2 a picco sulle rocce vista Golfo wedding venue. | PageSpeed: perf=44 seo=85 bp=96. Stack: wordpress|jQuery|Modernizr|yepnope|GreenSock JS|FlexSlider|W. Booking engine: simplebooking. Blog non verificato (0.5).,Lloyd's Baia Hotel; Hotel 4 stelle; Vietri sul Mare; Via de Marinis 2 a picco sulle rocce vista Golfo wedding venue; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Hotel Raito,https://www.hotelraito.it,https://www.google.com/maps/search/?api=1&query=Hotel+Raito+Vietri+sul+Mare,Hotel 5 stelle,2,reservations@hotelraito.it,+39 089 7634111,,,,2026-06-10,,No,Vietri sul Mare,Sì (probabile),Sì (SEO 100),Sì (blastness),Incerto,3.5,Via Nuova Raito 9 lusso gruppo RHC vista costiera riaperto 2026. | PageSpeed: perf=84 seo=100 bp=77. Stack: n/d. Booking engine: blastness. LUSSO(plus). Blog non verificato (0.5).,Hotel Raito; Hotel 5 stelle; Vietri sul Mare; Via Nuova Raito 9 lusso gruppo RHC vista costiera riaperto 2026; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Hotel Bristol,https://www.hotelbristolvietri.it,https://www.google.com/maps/search/?api=1&query=Hotel+Bristol+Vietri+sul+Mare,Hotel 4 stelle,3,info@hotelbristolvietri.com,+39 089 210800,,https://www.hotelbristolvietri.it/wp-content/plugins/revslider/sr6/assets/assets/dummy.png https://www.hotelbristolvietri.it/wp-content/uploads/2021/04/Pacchetto-Romantico1-768x368.jpg https://www.hotelbristolvietri.it/wp-content/uploads/2021/09/camera-vista-mare-cassetta-0003-768x512.jpg,,2026-06-10,,No,Vietri sul Mare,Sì (probabile),Sì (SEO 100),Sì (simplebooking),Incerto,2.5,Via Colombo 2 ascensore privato per solarium e giardino. | PageSpeed: perf=56 seo=100 bp=96. Stack: wordpress|jQuery|jQuery UI|WordPress|core-js. Booking engine: simplebooking. Blog non verificato (0.5).,Hotel Bristol; Hotel 4 stelle; Vietri sul Mare; Via Colombo 2 ascensore privato per solarium e giardino; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Hotel Vietri Coast,https://www.hotelvietricoast.com,https://www.google.com/maps/search/?api=1&query=Hotel+Vietri+Coast+Vietri+sul+Mare,Hotel 3 stelle,3,info@hotelvietricoast.it,+39 089 210400,,https://www.hotelvietricoast.com/it/wp-content/uploads/2024/09/Immagine-WhatsApp-2024-09-04-ore-17.11.00_0e775bb1-1.png https://www.hotelvietricoast.com/it/wp-content/plugins/revslider/sr6/assets/assets/dummy.png https://www.hotelvietricoast.com/it/wp-content/uploads/2024/08/Suite-2-720x470.jpg,,2026-06-10,,No,Vietri sul Mare,Sì (probabile),Sì (SEO 100),Sì (beddy),Incerto,2.5,16 camere Via Costabile 31 vista mare suite con idromassaggio. | PageSpeed: perf=56 seo=100 bp=96. Stack: wordpress|angular|jQuery|jQuery UI|Lo-Dash|Angular|Isotope|M. Booking engine: beddy. Blog non verificato (0.5).,Hotel Vietri Coast; Hotel 3 stelle; Vietri sul Mare; 16 camere Via Costabile 31 vista mare suite con idromassaggio; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Hotel Voce del Mare,https://vocedelmare.it,https://www.google.com/maps/search/?api=1&query=Hotel+Voce+del+Mare+Vietri+sul+Mare,Hotel,2,direzione@vocedelmare.it,+39 089 210080,,https://www.vocedelmare.it/web/image/344-587db717/albergo.webp https://www.vocedelmare.it/web/image/411-f7fa78ef/g52.webp https://www.vocedelmare.it/web/image/website.s_blockquote_cover_default_image,,2026-06-10,,No,Vietri sul Mare,Incerto (stack classico),Sì (SEO 100),No (non rilevato),Incerto,3.0,Via Costiera Amalfitana 21 ristorante relax fronte mare. | PageSpeed: perf=56 seo=100 bp=100. Stack: Bootstrap|jQuery. Booking engine: non rilevato. Blog non verificato (0.5).,Hotel Voce del Mare; Hotel; Vietri sul Mare; Via Costiera Amalfitana 21 ristorante relax fronte mare; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Le Sirenuse,https://sirenuse.it,https://www.google.com/maps/search/?api=1&query=Le+Sirenuse+Positano,Hotel 5 stelle lusso,1,info@sirenuse.it,+39 089 875066,,https://sirenuse.it/media/ffdb5qb3/sir-video-cut-teaser0.jpeg?width=960&format=webp&v=1dc01750666bcf0 https://sirenuse.it/media/qxdob5yf/le-sirenuse-hotel-positano_views_9997.jpg?width=768&height=576&format=webp&v=1d70b6a9d40d670 https://sirenuse.it/media/t0znt25c/sir-intro-04-new.jpg?width=768&height=576&format=webp&v=1dcab2d113a1750,,2026-06-10,,No,Positano,Incerto (stack classico),Sì (SEO 92),No (non rilevato),Incerto,4.0,Villa '700 famiglia Sersale 58 camere ristorante stellato La Sponda icona lusso indipendente. | PageSpeed: perf=54 seo=92 bp=100. Stack: jQuery|core-js. Booking engine: non rilevato. LUSSO(plus). Blog non verificato (0.5).,Le Sirenuse; Hotel 5 stelle lusso; Positano; Villa '700 famiglia Sersale 58 camere ristorante stellato La Sponda icona lusso indipendente; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Il San Pietro di Positano,https://www.ilsanpietro.com,https://www.google.com/maps/search/?api=1&query=Il+San+Pietro+di+Positano+Positano,Hotel 5 stelle lusso,1,info@ilsanpietro.it,+39 089 812080,,https://www.ilsanpietro.com/wp-content/uploads/2020/06/the-san-pietro-life-50-years-pt3-02-768x537.jpg https://www.ilsanpietro.com/wp-content/uploads/2025/06/newspress-collage-qgox8ttsr-1746739181268-768x512.webp https://www.ilsanpietro.com/wp-content/uploads/2024/09/Fishbeach-768x1149.jpeg,,2026-06-10,,No,Positano,Sì (probabile),Sì (SEO 92),No (non rilevato),Incerto,4.5,Relais & Chateaux 57 camere strapiombo sul mare spiaggia privata ristorante stellato Zass. | PageSpeed: perf=39 seo=92 bp=96. Stack: wordpress|jQuery|jQuery UI|Lo-Dash|Tween.js|WordPress|core-j. Booking engine: non rilevato. LUSSO(plus). Blog non verificato (0.5).,Il San Pietro di Positano; Hotel 5 stelle lusso; Positano; Relais & Chateaux 57 camere strapiombo sul mare spiaggia privata ristorante stellato Zass; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Villa Treville,https://villatreville.com,https://www.google.com/maps/search/?api=1&query=Villa+Treville+Positano,Hotel 5 stelle lusso boutique,2,contact@villatreville.com,+39 089 8122401,,https://villatreville.com/wp-content/themes/villatreville/assets/images/pictogram.webp https://villatreville.com/wp-content/themes/villatreville/assets/images/partners/virtuoso.png https://villatreville.com/wp-content/themes/villatreville/assets/images/partners/xo.png,,2026-06-10,,No,Positano,No,Sì (SEO 85),No (non rilevato),Incerto,3.5,Ex residenza Zeffirelli 4 ville giardini scogliera ultra-luxury. | PageSpeed: perf=65 seo=85 bp=96. Stack: wordpress|wp-rocket|jQuery|WordPress|WP Rocket. Booking engine: non rilevato. LUSSO(plus). Blog non verificato (0.5).,Villa Treville; Hotel 5 stelle lusso boutique; Positano; Ex residenza Zeffirelli 4 ville giardini scogliera ultra-luxury; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Hotel Le Agavi,https://www.leagavi.it,https://www.google.com/maps/search/?api=1&query=Hotel+Le+Agavi+Positano,Hotel 5 stelle lusso,2,booking@leagavipositano.com,+39 089 875733,,https://www.leagavi.it/static/f34104166f3611627d784f5668df3781/1adf6/9b01a562-a65a-4c89-88d9-44225b75bdbd.webp https://www.leagavi.it/static/0a37e6f5f8b995c893b455fa53a6f09b/c9a1a/80ba0fce-d452-4b00-9ddf-2f129ae4be16.webp https://www.leagavi.it/static/09e29c8ad8d0a5883cc3a962eef69bd1/c9a1a/0428d73c-557d-4e3b-8846-de192255a4ef.webp,,2026-06-10,,No,Positano,Incerto,Sì (SEO 100),Sì (blastness),Incerto,3.0,Terrazze panoramiche funicolare privata alla spiaggia lusso. | PageSpeed: perf=59 seo=100 bp=54. Stack: gatsby|Gatsby|Workbox. Booking engine: blastness. LUSSO(plus). Blog non verificato (0.5).,Hotel Le Agavi; Hotel 5 stelle lusso; Positano; Terrazze panoramiche funicolare privata alla spiaggia lusso; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Hotel Villa Franca,https://www.villafrancahotel.it,https://www.google.com/maps/search/?api=1&query=Hotel+Villa+Franca+Positano,Hotel 5 stelle,2,info@villafrancahotel.it,+39 089 875655,,https://www.villafrancahotel.it//images/residence-positano.png https://www.villafrancahotel.it/images/grifone.png https://www.villafrancahotel.it/cms-admin/materiale/pagine/elemento-498-74/villa-franca-hotel.jpg,,2026-06-10,,No,Positano,Incerto (stack classico),Sì (SEO 85),Sì (triptease),Incerto,3.0,Collina sopra la baia rooftop con piscina Small Luxury Hotels. | PageSpeed: perf=65 seo=85 bp=69. Stack: jQuery|Moment.js|FlexSlider. Booking engine: triptease. LUSSO(plus). Blog non verificato (0.5).,Hotel Villa Franca; Hotel 5 stelle; Positano; Collina sopra la baia rooftop con piscina Small Luxury Hotels; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Hotel Palazzo Murat,https://palazzomurat.it,https://www.google.com/maps/search/?api=1&query=Hotel+Palazzo+Murat+Positano,Hotel 4 stelle,3,info@palazzomurat.it,+39 089 875177,,,,2026-06-10,,No,Positano,No,Sì (SEO 100),No (non rilevato),Incerto,2.5,Palazzo storico '700 cuore di Positano giardino botanico boutique. | PageSpeed: perf=69 seo=100 bp=96. Stack: Bootstrap|jQuery|Modernizr|Vue|core-js. Booking engine: non rilevato. LUSSO(plus). Blog non verificato (0.5).,Hotel Palazzo Murat; Hotel 4 stelle; Positano; Palazzo storico '700 cuore di Positano giardino botanico boutique; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Hotel Covo dei Saraceni,https://www.covodeisaraceni.it,https://www.google.com/maps/search/?api=1&query=Hotel+Covo+dei+Saraceni+Positano,Hotel 5 stelle,1,info@covodeisaraceni.it,+39 089 875400,,https://www.covodeisaraceni.it/images/hotel-covo-dei-saraceni-positano-giorno.jpg https://www.covodeisaraceni.it/images/hotel-covo-dei-saraceni-positano-ingresso.jpg https://www.covodeisaraceni.it/images/hotel-covo-dei-saraceni-positano-notte.jpg,,2026-06-10,,No,Positano,Sì (probabile),Sì (SEO 92),No (non rilevato),Incerto,4.5,Accesso diretto a Marina Grande e al molo lusso indipendente. | PageSpeed: perf=73 seo=92 bp=96. Stack: joomla|jQuery|Joomla. Booking engine: non rilevato. LUSSO(plus). Blog non verificato (0.5).,Hotel Covo dei Saraceni; Hotel 5 stelle; Positano; Accesso diretto a Marina Grande e al molo lusso indipendente; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Villa Magia,https://villamagiapositano.com,https://www.google.com/maps/search/?api=1&query=Villa+Magia+Positano,Boutique resort lusso,2,,+39 089 875584 / +39 334 8298504,https://wa.me/393348298504,https://villamagiapositano.com/wp-content/uploads/2025/10/Hotel-Villa-Magia-Positano-Amalfi-Coast-experience-Immagine-WhatsApp-2024-03-08-ore-17.19.09_d9e49d58-e1761297307415-768x1167.webp https://villamagiapositano.com/wp-content/uploads/2025/10/Magia-Limo-Positano-Limousine-Transfer.jpg https://villamagiapositano.com/wp-content/uploads/2025/10/Hotel-Villa-Magia-Positano-Amalfi-Coast-experience-DSC03704_%C2%A9Brandnamic-e1761297373832-768x1194.webp,,2026-06-10,,No,Positano,Sì (probabile),Sì (SEO 100),Sì (beddy),Incerto,3.5,Ex torre di avvistamento '700 boutique gestione familiare piscina vista mare. | PageSpeed: perf=33 seo=100 bp=96. Stack: wordpress|jQuery|jQuery UI|Lo-Dash|WordPress|core-js. Booking engine: beddy. LUSSO(plus). Blog non verificato (0.5).,Villa Magia; Boutique resort lusso; Positano; Ex torre di avvistamento '700 boutique gestione familiare piscina vista mare; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Casa Angelina,https://www.casangelina.com,https://www.google.com/maps/search/?api=1&query=Casa+Angelina+Praiano,Hotel 5 stelle lusso boutique,2,reservations@casangelina.com,+39 089 8131333,,https://www.casangelina.com/wp-content/plugins/wpforms/assets/images/submit-spin.svg https://www.casangelina.com/wp-content/themes/casangelina/assets/images/home/textSwitch.png https://www.casangelina.com/wp-content/themes/casangelina/assets/images/home/textSwitchDark.png,,2026-06-10,,No,Praiano,No,Sì (SEO 100),No (non rilevato),Incerto,3.5,Leading Hotels of the World 36 camere design vista Positano Capri ristorante stellato. | PageSpeed: perf=64 seo=100 bp=96. Stack: wordpress|wp-rocket|jQuery|WordPress|core-js|WP Rocket. Booking engine: non rilevato. LUSSO(plus). Blog non verificato (0.5).,Casa Angelina; Hotel 5 stelle lusso boutique; Praiano; Leading Hotels of the World 36 camere design vista Positano Capri ristorante stellato; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Hotel Tramonto d'Oro,https://www.tramontodoro.it,https://www.google.com/maps/search/?api=1&query=Hotel+Tramonto+d%27Oro+Praiano,Hotel 4 stelle,2,info@tramontodoro.it,+39 089 874955 / +39 339 6029485,https://wa.me/393396029485,https://www.tramontodoro.it/wp-content/uploads/elementor/thumbs/tramontodoro-141-q4wp0bomlee8r4mdtugz4lye9gfnapcdcmmyyh0k10.webp https://www.tramontodoro.it/wp-content/uploads/elementor/thumbs/tramontodoro-66-q4yhqrxgz6lvmtiemp32k112znxqbc2nfai06jmr8k.webp https://www.tramontodoro.it/wp-content/uploads/elementor/thumbs/tramontodoro-114-q4yhrfffq1i1p2k9th8qsd3luapwnrnxuit56gnwx0.webp,,2026-06-10,,No,Praiano,Sì (probabile),Sì (SEO 92),No (non rilevato),Incerto,3.5,Famiglia Esposito 38 camere panoramica piscina rooftop indipendente. | PageSpeed: perf=65 seo=92 bp=100. Stack: wordpress|jQuery|jQuery UI|WordPress|core-js. Booking engine: non rilevato. Blog non verificato (0.5).,Hotel Tramonto d'Oro; Hotel 4 stelle; Praiano; Famiglia Esposito 38 camere panoramica piscina rooftop indipendente; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
