Nome_Azienda,URL_Sito,Google_Business_Link,Categoria,Priorita,Email,Immagini,Link_Demo,Data_Generazione,Data_Contatto,Contattato,Citta,Sito_Pre2020,Mobile_Friendly,Channel_Manager,Blog,Criteri_Soddisfatti,Note,Brief_Demo_OpenClaw
Sirenide Viaggi,https://www.sirenide.com,https://www.google.com/maps/search/?api=1&query=Sirenide+Viaggi+Via+degli+Aranci+25+Sorrento,Tour operator incoming / DMC,1,info@sirenide.com,https://www.sirenide.com/images/scaled/sirenide-viaggi_00073.webp https://www.sirenide.com/images/scaled/000_positano.webp https://www.sirenide.com/images/scaled/AdobeStock_259147781.webp,https://naplesexperiences-netizen.github.io/experiences-demos/demos/sirenide-viaggi-demo-experiences/,2026-06-09,2026-06-11,No,Sorrento,Sì (probabile),Sì (SEO 92),No (non rilevato),No,4.0,DMC storico 35+ anni B2B verso TO/ADV esteri. Via degli Aranci 25. | PageSpeed mobile: perf=62 seo=92 bp=100. Stack: core-js. Booking engine: non rilevato.,Sirenide Viaggi; DMC e tour operator incoming B2B; Sorrento; partner incoming per il Sud Italia rivolto a tour operator e agenzie esteri; punti forza: oltre 35 anni di esperienza incoming - copertura Penisola Sorrentina Costiera Capri Ischia Napoli Roma - servizi su misura (hotel 3-5 stelle guide in 5 lingue bus lusso yacht) - eventi e matrimoni - rete di hotel di proprietà a Sorrento; palette blu navy + turchese mediterraneo + bianco con accenti oro; sezioni: home B2B / chi siamo / destinazioni e itinerari / servizi (hotel transfer guide eventi) / area agenzie e tour operator / gallery / contatti e richiesta preventivo; lingue IT/EN; tono istituzionale affidabile orientato al partner; CTA 'Richiedi un preventivo'
Grand Hotel Excelsior Vittoria,https://excelsiorvittoria.com,https://www.google.com/maps/search/?api=1&query=Grand+Hotel+Excelsior+Vittoria+Sorrento+Piazza+Tasso,Hotel 5 stelle Luxury (LHW),2,fb@exvitt.it,https://excelsiorvittoria.com/assets/video/solo_bird_2__loop-.jpg https://excelsiorvittoria.com/images-temp-/off-suit-rt-1.jpg https://excelsiorvittoria.com/images-temp-/stellat-offer-sq--.jpg,https://naplesexperiences-netizen.github.io/experiences-demos/demos/grand-hotel-excelsior-vittoria-demo-experiences/,2026-06-09,2026-06-11,No,Sorrento,Incerto (stack classico),Sì (SEO 100),Sì (triptease),No,3.5,Brand iconico dal 1834 LHW 79 camere ristorante stellato Terrazza Bosquet Piazza Tasso. Booking via LHW (Triptease è metasearch non CM). | PageSpeed mobile: perf=50 seo=100 bp=96. Stack: Bootstrap|jQuery|core-js. Booking engine: triptease.,Grand Hotel Excelsior Vittoria; 5 stelle luxury; Sorrento Piazza Tasso; landmark storico iconico sul Golfo di Napoli; punti forza: dimora storica dal 1834 con ospiti illustri (Wagner Wilde Caruso) - membro Leading Hotels of the World - ristorante stellato Michelin Terrazza Bosquet - parco-agrumeto privato e spa - ascensore privato verso il porto e marina - 79 camere vista mare; palette avorio caldo + verde agrume + oro antico su fondo crema; sezioni: home cinematica / camere e suite / dining stellato / spa e parco / esperienze (Capri Pompei Costiera) / storia e heritage / eventi e matrimoni / prenota; lingue IT/EN; tono elegante sobrio evocativo; CTA 'Prenota il tuo soggiorno'
Hotel Mediterraneo Sorrento,https://www.mediterraneosorrento.com,https://www.google.com/maps/search/?api=1&query=Hotel+Mediterraneo+SantAgnello,Hotel 5 stelle,2,info@mediterraneosorrento.com,,https://naplesexperiences-netizen.github.io/experiences-demos/demos/hotel-mediterraneo-sorrento-demo-experiences/,2026-06-09,2026-06-11,No,Sant'Agnello,Incerto (stack classico),Sì (SEO 100),No (non rilevato),No,3.5,"Michelin Key 2025, 61 camere, ascensore al mare, segmento lusso. Stack solo jQuery+Lo-Dash, no booking engine esterno rilevato (Parziale). | PageSpeed mobile: perf=28 seo=100 bp=96. Stack: jQuery|Lo-Dash. Booking engine: non rilevato.",Hotel Mediterraneo Sorrento; 5 stelle; Sant'Agnello a picco sul mare; boutique luxury con ascensore al mare; punti forza: terrazza e piscina sul mare - ascensore privato alla spiaggia - rooftop restaurant - Michelin Key 2025 - vista golfo; palette blu + bianco + ottone; sezioni: hero rooftop / camere / piscina e mare / dining / spa / esperienze / prenota; lingue IT/EN; tono fresco contemporaneo elegante; CTA 'Prenota la tua vista mare'
Hotel Prestige Sorrento,https://www.hotelprestigesorrento.com,https://www.google.com/maps/search/?api=1&query=Hotel+Prestige+Sorrento+Via+Nastro+Azzurro+23,Hotel 4 stelle boutique,4,info@hotelprestigesorrento.com,https://www.hotelprestigesorrento.com/tpl/default/assets/images/ghost-100x70.png https://www.hotelprestigesorrento.com/img/gall/309161398/1471950607.jpg https://www.hotelprestigesorrento.com/img/gall/309161398/146843751542.jpg,,2026-06-09,,No,Sorrento,No,Sì (SEO 100),Sì (simplebooking),No,1.0,"Via Nastro Azzurro 23. 25 camere vista doppio golfo. Stack LitElement+Bootstrap+jQuery (moderno), SimpleBooking integrato. NON pre-2020. | PageSpeed mobile: perf=30 seo=100 bp=100. Stack: Bootstrap|LitElement|lit-html|Google Maps|jQuery|Modernizr|y. Booking engine: simplebooking.",Hotel Prestige Sorrento; 4 stelle boutique; Via Nastro Azzurro 23 Sorrento; boutique panoramico intimo con navetta gratuita per il centro; punti forza: vista doppio golfo Napoli e Salerno - 25 camere intime - piscina a sfioro - roof bar - ristorante à la carte - navetta gratuita; palette azzurro golfo + bianco calce + ottone caldo stile mediterraneo elegante; sezioni: hero vista mare / camere / piscina e roof bar / ristorante / esperienze e dintorni / prenotazione / contatti; lingue IT/EN; tono caldo intimo esclusivo; CTA 'Prenota la tua vista sul golfo'
Grand Hotel Capodimonte Sorrento,https://www.capodimontesorrento.com,https://www.google.com/maps/search/?api=1&query=Grand+Hotel+Capodimonte+Sorrento+Via+Capodimonte+16,Hotel 4 stelle superior,2,capodimonte@manniellohotels.com,https://www.capodimontesorrento.com/wp-content/uploads/sites/346/2024/05/Piscina-con-vistaSito-300x150.jpg https://www.capodimontesorrento.com/wp-content/uploads/sites/346/2024/05/Piscina-con-vistaSito-450x900.jpg,https://naplesexperiences-netizen.github.io/experiences-demos/demos/grand-hotel-capodimonte-sorrento-demo-experiences/,2026-06-09,2026-06-11,No,Sorrento,Incerto (stack classico),Sì (SEO 85),Sì (d-edge|decms),No,3.5,"Via Capodimonte 16. Gruppo Manniello su D-Edge (WP multisito). 5 piscine, 2-3 ristoranti, volume alto. | PageSpeed mobile: perf=96 seo=85 bp=100. Stack: jQuery. Booking engine: d-edge|decms.",Grand Hotel Capodimonte; 4 stelle superior; Via Capodimonte 16 Sorrento; resort panoramico classico-mediterraneo gruppo Manniello; punti forza: 5 piscine a cascata vista golfo - 2-3 ristoranti (Le Ginestre Le Querce) - giardini mediterranei - beach club - spa e jacuzzi - ingresso scavato nella roccia con ascensori; palette blu profondo + terracotta + verde mediterraneo + crema; sezioni: hero piscine a cascata / camere e suite / le 5 piscine / ristoranti / spa e beach club / esperienze costiera / prenotazione / contatti; lingue IT/EN; tono elegante classico raffinato; CTA 'Prenota la tua vista sul Golfo di Napoli'
Grand Hotel Royal Sorrento,https://www.royalsorrento.com,https://www.google.com/maps/search/?api=1&query=Grand+Hotel+Royal+Sorrento+Via+Correale+42,Hotel 5 stelle,2,royal@manniellohotels.com,https://www.royalsorrento.com/wp-content/uploads/sites/343/2023/03/Terrazza-Home-Page-300x150.jpeg https://www.royalsorrento.com/wp-content/uploads/sites/343/2023/03/Terrazza-Home-Page-450x900.jpeg,https://naplesexperiences-netizen.github.io/experiences-demos/demos/grand-hotel-royal-sorrento-demo-experiences/,2026-06-09,2026-06-11,No,Sorrento,Incerto (stack classico),Sì (SEO 85),Sì (d-edge|decms),No,3.5,"Via Correale 42. Gruppo Manniello su D-Edge. Spiaggia privata, beach club, 3 ristoranti. | PageSpeed mobile: perf=89 seo=85 bp=100. Stack: jQuery. Booking engine: d-edge|decms.",Grand Hotel Royal; 5 stelle lusso; Via Correale 42 Sorrento; resort di lusso urbano gruppo Manniello; punti forza: posizione centrale a picco sul mare - spiaggia privata e beach club - piscina infinity con cascata e giardini di palme - 3 ristoranti e bar - spa con jacuzzi - vista Golfo e Vesuvio; palette blu navy + oro/ottone + bianco e verde palma; sezioni: hero piscina e mare / camere e suite / spiaggia privata e beach club / ristoranti / spa e wellness / esperienze e posizione / prenotazione / contatti; lingue IT/EN; tono lussuoso prestigioso accogliente; CTA 'Vivi il lusso fronte mare a Sorrento - Prenota'
Torres Travel,https://www.torrestravel.it,https://www.google.com/maps/search/?api=1&query=Torres+Travel+Via+Lepanto+143+Pompei,Tour operator incoming Pompei guide center,2,info@torrestravel.it,https://torrestravel.it/wp-content/uploads/2020/01/pompeii-03.jpg https://torrestravel.it/wp-content/uploads/2020/01/home-slide-02-768x388.jpg https://torrestravel.it/wp-content/uploads/2020/01/home-slide-01-768x388.jpg,https://naplesexperiences-netizen.github.io/experiences-demos/demos/torres-travel-pompei-demo-experiences/,2026-06-11,2026-06-11,No,Pompei,Incerto,Sì (SEO 85),No (non rilevato),No,3.5,Via Lepanto 143 Pompei. WordPress + WooCommerce (no booking engine esterno). Specialista crocieristi. | PageSpeed mobile: perf=54 seo=85 bp=100. Stack: wordpress|jQuery|WordPress|core-js. Booking engine: non rilevato.,Torres Travel; tour operator incoming e guide center; Pompei (Via Lepanto 143); specialista Pompei e Golfo di Napoli per crocieristi e gruppi; punti forza: Pompei Guide Center con guide multilingue (11+ lingue) - skip-the-line e shore excursions per crocieristi - escursioni Pompei Capri Costiera - transfer ristoranti cooking class trekking - operatore strutturato dal 2001; palette blu Mediterraneo + terracotta pompeiana + sabbia chiara; sezioni: home con ricerca esperienze / escursioni per tema (shore cruise gruppi) / Pompei guide center / destinazioni / prenota online / chi siamo / contatti; lingue IT/EN; tono dinamico professionale rassicurante; CTA 'Prenota la tua escursione'
Grand Hotel Cocumella,https://www.cocumella.com,https://www.google.com/maps/search/?api=1&query=Grand+Hotel+Cocumella+SantAgnello,Hotel 5 stelle (Small Luxury Hotels),1,info@cocumella.com,https://www.cocumella.com/template/cocumella/images/elements/star.svg https://www.cocumella.com/template/cocumella/images/bg/placeholder.jpg?v=798 https://www.cocumella.com/template/cocumella/images/bg/home_intro_bg.png,https://naplesexperiences-netizen.github.io/experiences-demos/demos/grand-hotel-cocumella-demo-experiences/,2026-06-09,2026-06-11,No,Sant'Agnello,Sì (probabile),Sì (SEO 92),No (non rilevato),No,4.0,Storico 1637 SLH. Stack jQuery UI + yepnope = vecchio. Veliero d'epoca per escursioni. | PageSpeed mobile: perf=45 seo=92 bp=96. Stack: jQuery|jQuery UI|Modernizr|yepnope. Booking engine: non rilevato.,Grand Hotel Cocumella; 5 stelle boutique storico (1637) Small Luxury Hotels; Sant'Agnello; dimora di charme tra storia e mare; punti forza: storia secolare - parco e agrumeto - piscina panoramica - ristorante - veliero d'epoca per escursioni - spa; palette crema + verde salvia + legno caldo; sezioni: hero heritage / camere / parco e piscina / dining / esperienze in mare / storia / prenota; lingue IT/EN; tono elegante storico intimo; CTA 'Prenota il tuo soggiorno storico'
Golden Tours International,https://www.goldentours.it,https://www.google.com/maps/search/?api=1&query=Golden+Tours+International+Sorrento,Tour operator / DMC incoming,3,incoming@goldentours.it,https://www.goldentours.it/images/risorsa-4.png?v=04e7 https://www.goldentours.it/images/risorsa-1_823.png?v=a43a https://www.goldentours.it/images/risorsa-6_197.png?v=fcb9,https://naplesexperiences-netizen.github.io/experiences-demos/demos/golden-tours-international-demo-experiences/,2026-06-09,2026-06-11,No,Sorrento,Incerto (stack classico),Sì (SEO 85),Sì (fareharbor),No,2.5,DMC dal 1957 segmento alto/lusso. FareHarbor identificato come engine. | PageSpeed mobile: perf=73 seo=85 bp=92. Stack: Bootstrap|jQuery|WebFont Loader. Booking engine: fareharbor.,Golden Tours International; tour operator DMC dal 1957; Sorrento; incoming alto/lusso per gruppi e individuali; punti forza: 65+ anni esperienza - escursioni Pompei Capri Vesuvio Costiera - hotel 4-5 stelle e ville - servizi premium (elicottero yacht) - rete B2B; palette blu mediterraneo + oro + bianco; sezioni: home / destinazioni e tour / servizi luxury / area B2B / chi siamo / contatti; lingue IT/EN; tono professionale prestigioso; CTA 'Richiedi un preventivo'
Grand Hotel Aminta,https://www.aminta.com,https://www.google.com/maps/search/?api=1&query=Grand+Hotel+Aminta+Sorrento,Hotel 4 stelle,2,info@aminta.it,https://www.aminta.com/images/1405-senza-titolo-13.png?v=fbfc https://www.aminta.com/images/separatore.png?v=e779 https://www.aminta.com/images/separatore.png?v=848c,https://naplesexperiences-netizen.github.io/experiences-demos/demos/grand-hotel-aminta-sorrento-demo-experiences/,2026-06-11,2026-06-11,No,Sorrento,Incerto (stack classico),Sì (SEO 85),No (non rilevato),No,3.5,Sorrento collina panoramica. Bootstrap+jQuery+WebFont (stack misto). No booking engine esterno rilevato in PageSpeed (la prima analisi indicava Ericsoft: verificare). | PageSpeed mobile: perf=56 seo=85 bp=96. Stack: Bootstrap|jQuery|WebFont Loader|core-js. Booking engine: non rilevato.,Grand Hotel Aminta; 4 stelle; Sorrento collina panoramica; resort vista golfo per famiglie e coppie; punti forza: vista panoramica Golfo di Napoli - piscine - navetta centro - ampie sale - ristorante; palette blu + bianco + legno; sezioni: hero vista / camere / piscine / ristorante / eventi / prenota; lingue IT/EN; tono accogliente familiare; CTA 'Prenota ora'
