Nome_Azienda,URL_Sito,Google_Business_Link,Categoria,Priorita,Email,Immagini,Link_Demo,Data_Generazione,Data_Contatto,Contattato,Citta,Sito_Pre2020,Mobile_Friendly,Channel_Manager,Blog,Criteri_Soddisfatti,Note,Brief_Demo_OpenClaw
Hotel Mareblu Terme,https://www.hotelmareblu.it,https://www.google.com/maps/search/?api=1&query=Hotel+Mareblu+Terme+Ischia+Porto,Hotel 5 stelle,1,,https://www.hotelmareblu.it/inc/scripts/source/www.hotelmareblu.it/crp450x800-sf-mobi.jpg?f=webp&v=1777905207.jpg https://www.hotelmareblu.it/inc/scripts/source/www.hotelmareblu.it/crp450x800-sf-footer.jpg?f=webp&v=1777905207.jpg https://www.hotelmareblu.it/inc/scripts/source/www.hotelmareblu.it/crp450x764-sf-room-home.jpg?f=webp&v=1777905207.jpg,,2026-06-10,,No,Ischia Porto,Sì (probabile),Sì (SEO 100),No (non rilevato),Incerto,4.5,68 camere e suite terme interne spa piscina termale coperta sul mare centro Ischia Porto indipendente. | PageSpeed: perf=79 seo=100 bp=96. Stack: core-js. Booking engine: non rilevato. LUSSO(plus). Blog non verificato (0.5).,Hotel Mareblu Terme; Hotel 5 stelle; Ischia Porto; 68 camere e suite terme interne spa piscina termale coperta sul mare centro Ischia Porto indipendente; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Grand Hotel Il Moresco,https://ilmoresco.it,https://www.google.com/maps/search/?api=1&query=Grand+Hotel+Il+Moresco+Ischia+Porto,Hotel 5 stelle,1,moresco@leohotels.it,https://ilmoresco.it/wp-content/uploads/2025/07/Continental-Mare-colorato-verticale.svg https://ilmoresco.it/wp-content/uploads/2025/07/ischia.webp,,2026-06-10,,No,Ischia Porto,Sì (probabile),Sì (SEO 100),No (non rilevato),Incerto,4.5,Spa con terme vinotherapy giardino tropicale vista mare 71 camere gruppo Leo Hotels indipendente italiano. | PageSpeed: perf=68 seo=100 bp=96. Stack: wordpress|jQuery|jQuery UI|WordPress|core-js. Booking engine: non rilevato. LUSSO(plus). Blog non verificato (0.5).,Grand Hotel Il Moresco; Hotel 5 stelle; Ischia Porto; Spa con terme vinotherapy giardino tropicale vista mare 71 camere gruppo Leo Hotels indipendente italiano; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Hotel Terme Manzi,https://hoteltermemanzi.it,https://www.google.com/maps/search/?api=1&query=Hotel+Terme+Manzi+Casamicciola+Terme,Hotel 5 stelle,1,info@termemanzihotel.com,,,2026-06-10,,No,Casamicciola Terme,Incerto (stack classico),Sì (SEO 92),No (non rilevato),Incerto,4.0,Palazzo storico fine 800 terme sorgente Gurgitello spa ristorante gourmet 56 camere indipendente. | PageSpeed: perf=48 seo=92 bp=92. Stack: jQuery|WebFont Loader|core-js. Booking engine: non rilevato. LUSSO(plus). Blog non verificato (0.5).,Hotel Terme Manzi; Hotel 5 stelle; Casamicciola Terme; Palazzo storico fine 800 terme sorgente Gurgitello spa ristorante gourmet 56 camere indipendente; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Hotel Villa Sirena,https://www.hotelvillasirena.it,https://www.google.com/maps/search/?api=1&query=Hotel+Villa+Sirena+Casamicciola+Terme,Hotel 3-4 stelle,2,,https://www.hotelvillasirena.it/wp-content/plugins/sitepress-multilingual-cms/res/flags/en.svg?x83742 https://www.hotelvillasirena.it/wp-content/plugins/sitepress-multilingual-cms/res/flags/fr.svg?x83742 https://www.hotelvillasirena.it/wp-content/plugins/sitepress-multilingual-cms/res/flags/it.svg?x83742,,2026-06-10,,No,Casamicciola Terme,Sì (probabile),Sì (SEO 92),No (non rilevato),Incerto,3.5,Fronte mare terme storiche La Rita piscina termale struttura familiare indipendente. | PageSpeed: perf=49 seo=92 bp=100. Stack: wordpress|jQuery|jQuery UI|WordPress|core-js. Booking engine: non rilevato. Blog non verificato (0.5).,Hotel Villa Sirena; Hotel 3-4 stelle; Casamicciola Terme; Fronte mare terme storiche La Rita piscina termale struttura familiare indipendente; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Albergo della Regina Isabella,https://www.reginaisabella.com,https://www.google.com/maps/search/?api=1&query=Albergo+della+Regina+Isabella+Lacco+Ameno,Hotel 5 stelle lusso,2,info@reginaisabella.it,https://www.reginaisabella.com/templates/custom/assets/images/decor.png,,2026-06-10,,No,Lacco Ameno,Sì (probabile),Sì (SEO 100),Sì (blastness),Incerto,3.5,Storico fondato da Angelo Rizzoli anni 50 4 piscine termali spa spiaggia privata 128 camere indipendente lusso. | PageSpeed: perf=77 seo=100 bp=77. Stack: n/d. Booking engine: blastness. LUSSO(plus). Blog non verificato (0.5).,Albergo della Regina Isabella; Hotel 5 stelle lusso; Lacco Ameno; Storico fondato da Angelo Rizzoli anni 50 4 piscine termali spa spiaggia privata 128 camere indipendente lusso; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
San Montano Resort & Spa,https://www.sanmontano.com,https://www.google.com/maps/search/?api=1&query=San+Montano+Resort+%26+Spa+Lacco+Ameno,Hotel 5 stelle,1,info@sanmontano.com,https://www.sanmontano.com/wp-content/themes/sanmontano/assets/images/home/ischia-panorama-restort-san-montano.jpg https://www.sanmontano.com/wp-content/uploads/2021/07/hotel-ischia-san-montano-ingresso.jpg https://www.sanmontano.com/wp-content/uploads/2021/03/hotel-san-montano-ischia-vista-piscina.jpg,,2026-06-10,,No,Lacco Ameno,Incerto (stack classico),Sì (SEO 85),No (non rilevato),Incerto,4.0,3 ettari di parco 11 piscine termali spa fronte mare 69 camere suite indipendente familiare alta gamma. | PageSpeed: perf=52 seo=85 bp=100. Stack: wordpress|jQuery|WordPress|core-js. Booking engine: non rilevato. LUSSO(plus). Blog non verificato (0.5).,San Montano Resort & Spa; Hotel 5 stelle; Lacco Ameno; 3 ettari di parco 11 piscine termali spa fronte mare 69 camere suite indipendente familiare alta gamma; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Grand Hotel delle Terme di Augusto,https://www.termediaugusto.it,https://www.google.com/maps/search/?api=1&query=Grand+Hotel+delle+Terme+di+Augusto+Lacco+Ameno,Hotel 5 stelle,1,,https://www.termediaugusto.it/source/drag.png https://www.termediaugusto.it/inc/scripts/source/www.termediaugusto.it/crp450x330-sf-index-1.jpg?f=webp&v=1780664299.jpg https://www.termediaugusto.it/inc/scripts/source/www.termediaugusto.it/crp450x300-index-1.jpg?f=webp&v=1780664299.jpg,,2026-06-10,,No,Lacco Ameno,Incerto (stack classico),Sì (SEO 100),No (non rilevato),Incerto,4.0,123 camere con balcone 3 piscine termali sorgente Panella centro benessere 2100 mq 100m dal mare indipendente. | PageSpeed: perf=84 seo=100 bp=96. Stack: jQuery|core-js. Booking engine: non rilevato. LUSSO(plus). Blog non verificato (0.5).,Grand Hotel delle Terme di Augusto; Hotel 5 stelle; Lacco Ameno; 123 camere con balcone 3 piscine termali sorgente Panella centro benessere 2100 mq 100m dal mare indipendente; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Park Hotel Terme Michelangelo,https://www.hotelmichelangeloischia.it,https://www.google.com/maps/search/?api=1&query=Park+Hotel+Terme+Michelangelo+Lacco+Ameno,Hotel 4 stelle,2,info@hotelmichelangeloischia.it,https://www.hotelmichelangeloischia.it/catalog/view/theme/hotel/image/svg/BASE-stemma.png https://www.hotelmichelangeloischia.it/catalog/view/theme/hotel/image/svg/tel.svg https://www.hotelmichelangeloischia.it/catalog/view/theme/hotel/image/svg/email.svg,,2026-06-10,,No,Lacco Ameno,Incerto (stack classico),Sì (SEO 92),No (non rilevato),Incerto,3.0,Piscine termali centro benessere parco verde Via Provinciale Fango indipendente familiare. | PageSpeed: perf=56 seo=92 bp=96. Stack: Bootstrap|jQuery. Booking engine: non rilevato. Blog non verificato (0.5).,Park Hotel Terme Michelangelo; Hotel 4 stelle; Lacco Ameno; Piscine termali centro benessere parco verde Via Provinciale Fango indipendente familiare; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Hotel Tritone Resort & Spa,https://www.hoteltritoneischia.it,https://www.google.com/maps/search/?api=1&query=Hotel+Tritone+Resort+%26+Spa+Forio,Hotel 4 stelle,2,tritone@hoteltritoneischia.it,https://www.hoteltritoneischia.it/wp-content/uploads/2024/11/video_cover.jpg https://www.hoteltritoneischia.it/wp-content/uploads/2023/07/79A3695_DxO-cut-1366x682.jpg,,2026-06-10,,No,Forio,Sì (probabile),Sì (SEO 92),No (non rilevato),Incerto,3.5,3 piscine termali acqua salino-alcalina programmi riabilitativi 110 camere indipendente. | PageSpeed: perf=63 seo=92 bp=96. Stack: wordpress|Bootstrap|jQuery|jQuery UI|FlexSlider|WordPress|co. Booking engine: non rilevato. Blog non verificato (0.5).,Hotel Tritone Resort & Spa; Hotel 4 stelle; Forio; 3 piscine termali acqua salino-alcalina programmi riabilitativi 110 camere indipendente; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Hotel Paradiso Terme Resort & Spa,https://www.hotelparadisoischia.com,https://www.google.com/maps/search/?api=1&query=Hotel+Paradiso+Terme+Resort+%26+Spa+Forio,Hotel 4 stelle,3,info@hotelparadisoterme.it,,,2026-06-10,,No,Forio,No,Sì (SEO 100),No (non rilevato),Incerto,2.5,5 piscine termali in parco da 23000 mq Via San Giuseppe indipendente. | PageSpeed: perf=68 seo=100 bp=96. Stack: react|React|Lo-Dash|RequireJS. Booking engine: non rilevato. Blog non verificato (0.5).,Hotel Paradiso Terme Resort & Spa; Hotel 4 stelle; Forio; 5 piscine termali in parco da 23000 mq Via San Giuseppe indipendente; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Park Hotel Terme Mediterraneo,https://www.hotelmediterraneo.it,https://www.google.com/maps/search/?api=1&query=Park+Hotel+Terme+Mediterraneo+Forio,Hotel 4 stelle,3,info@hotelmediterraneo.it,https://www.hotelmediterraneo.it/source/img-lingue.png https://www.hotelmediterraneo.it/source/back.png https://www.hotelmediterraneo.it/source/ico-tel-mobi.png,,2026-06-10,,No,Forio,No,Sì (SEO 92),No (non rilevato),Incerto,2.5,Immerso in 20000 mq tra frutteti e vigneti terme interne indipendente. | PageSpeed: perf=28 seo=92 bp=65. Stack: jQuery|Preact|core-js. Booking engine: non rilevato. Blog non verificato (0.5).,Park Hotel Terme Mediterraneo; Hotel 4 stelle; Forio; Immerso in 20000 mq tra frutteti e vigneti terme interne indipendente; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
