Nome_Azienda,URL_Sito,Google_Business_Link,Categoria,Priorita,Email,Telefono,WhatsApp,Immagini,Link_Demo,Data_Generazione,Data_Contatto,Contattato,Citta,Sito_Pre2020,Mobile_Friendly,Channel_Manager,Blog,Criteri_Soddisfatti,Note,Brief_Demo_OpenClaw
Albergo Santa Rosa,https://www.albergosantarosa.it,https://www.google.com/maps/search/?api=1&query=Albergo+Santa+Rosa+Salerno,Albergo / B&B,3,info@albergosantarosa.it,+39 089 225346,,https://www.albergosantarosa.it/wp-content/plugins/sitepress-multilingual-cms/res/flags/it.png https://www.albergosantarosa.it/wp-content/plugins/sitepress-multilingual-cms/res/flags/en.png https://www.albergosantarosa.it/wp-content/uploads/2018/12/bed-breakfast.png,,2026-06-10,,No,Salerno,Incerto (stack classico),Sì (SEO 92),No (non rilevato),Incerto,2.0,Corso Vittorio Emanuele 14 vicino stazione e porto gestione familiare. | PageSpeed: perf=57 seo=92 bp=77. Stack: wordpress|jQuery|jQuery Mobile|WordPress. Booking engine: non rilevato. Blog non verificato (0.5).,Albergo Santa Rosa; Albergo / B&B; Salerno; Corso Vittorio Emanuele 14 vicino stazione e porto gestione familiare; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Hotel Montestella 1914,https://montestella1914.it,https://www.google.com/maps/search/?api=1&query=Hotel+Montestella+1914+Salerno,Hotel 3 stelle,3,info@montestella1914.it,+39 089 225122,,https://www.hotelmontestella.it/s5/wp-content/uploads/2025/09/firma-riccardo.jpg https://www.hotelmontestella.it/s5/wp-content/uploads/2025/07/175720016.jpg https://www.hotelmontestella.it/s5/wp-content/uploads/2025/07/175720015.jpg,,2026-06-10,,No,Salerno,Sì (probabile),Sì (SEO 85),Sì (bedzzle),Incerto,2.5,47 camere Corso Vittorio Emanuele 156 zona pedonale gestione familiare storica. | PageSpeed: perf=49 seo=85 bp=81. Stack: wordpress|jQuery|jQuery UI|Modernizr|Underscore|Isotope|Mome. Booking engine: bedzzle. Blog non verificato (0.5).,Hotel Montestella 1914; Hotel 3 stelle; Salerno; 47 camere Corso Vittorio Emanuele 156 zona pedonale gestione familiare storica; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Grand Hotel Salerno,https://www.grandhotelsalerno.com,https://www.google.com/maps/search/?api=1&query=Grand+Hotel+Salerno+Salerno,Hotel 4 stelle,2,,+39 089 7041111 / +39 334 3860444,https://wa.me/393343860444,https://www.grandhotelsalerno.com/wp-content/plugins/polylang/flags/it.png https://www.grandhotelsalerno.com/wp-content/plugins/polylang/flags/gb.png https://www.grandhotelsalerno.com/wp-content/uploads/2020/10/hotel_stelle-01.png,,2026-06-10,,No,Salerno,Sì (probabile),Sì (SEO 85),No (non rilevato),Incerto,3.5,Lungomare Tafuri 1 congressi cerimonie benessere vista mare indipendente. | PageSpeed: perf=49 seo=85 bp=73. Stack: wordpress|jQuery|jQuery UI|Isotope|WordPress. Booking engine: non rilevato. Blog non verificato (0.5).,Grand Hotel Salerno; Hotel 4 stelle; Salerno; Lungomare Tafuri 1 congressi cerimonie benessere vista mare indipendente; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Albergo del Centro Storico,http://albergodelcentrostorico.com,https://www.google.com/maps/search/?api=1&query=Albergo+del+Centro+Storico+Salerno,Albergo / B&B,3,,+39 089 2582251 / +39 392 6791290,https://wa.me/393926791290,,,2026-06-10,,No,Salerno,Incerto (stack classico),Sì (SEO 100),No (non rilevato),Incerto,2.0,Piccola struttura nel centro storico. | PageSpeed: perf=86 seo=100 bp=78. Stack: wordpress|nitropack|WordPress|NitroPack. Booking engine: non rilevato. Blog non verificato (0.5).,Albergo del Centro Storico; Albergo / B&B; Salerno; Piccola struttura nel centro storico; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
B&B Salerno Antica,https://www.salernoantica.com,https://www.google.com/maps/search/?api=1&query=B%26B+Salerno+Antica+Salerno,B&B dimora storica,3,,+39 089 253156 / +39 328 3311881,https://wa.me/393283311881,https://www.salernoantica.com/wp-content/uploads/2020/08/Risorsa-3.png https://www.salernoantica.com/wp-content/uploads/2024/03/Progetto-senza-titolo-28-768x461.jpg https://www.salernoantica.com/wp-content/uploads/2024/03/Progetto-senza-titolo-3-1-768x461.jpg,,2026-06-10,,No,Salerno,Sì (probabile),Sì (SEO 100),No (non rilevato),Incerto,2.5,Ex convento del 1500 Via Masuccio Salernitano 8 centro storico. | PageSpeed: perf=34 seo=100 bp=57. Stack: wordpress|jQuery|jQuery UI|Underscore|Can|WordPress|core-js. Booking engine: non rilevato. LUSSO(plus). Blog non verificato (0.5).,B&B Salerno Antica; B&B dimora storica; Salerno; Ex convento del 1500 Via Masuccio Salernitano 8 centro storico; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
B&B In Centro Storico Salerno,https://www.incentrostoricosalerno.it,https://www.google.com/maps/search/?api=1&query=B%26B+In+Centro+Storico+Salerno+Salerno,B&B,3,,,,https://www.incentrostoricosalerno.it/wp-content/uploads/2019/11/slider02.jpg https://www.incentrostoricosalerno.it/wp-content/uploads/2019/11/slider01.jpg https://www.incentrostoricosalerno.it/wp-content/uploads/2019/11/slider03.jpg,,2026-06-10,,No,Salerno,Sì (probabile),Sì (SEO 85),No (non rilevato),Incerto,2.5,Dimora su Piazza Sant'Agostino centro storico. | PageSpeed: perf=43 seo=85 bp=96. Stack: wordpress|jQuery|jQuery UI|Can|WordPress|core-js. Booking engine: non rilevato. Blog non verificato (0.5).,B&B In Centro Storico Salerno; B&B; Salerno; Dimora su Piazza Sant'Agostino centro storico; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Salerno Centro dimora storica,https://www.salernocentro.it,https://www.google.com/maps/search/?api=1&query=Salerno+Centro+dimora+storica+Salerno,B&B dimora storica,3,,,,https://www.salernocentro.it/wp-content/themes/w-salerno/img/it.png https://www.salernocentro.it/wp-content/themes/w-salerno/img/en.png https://www.salernocentro.it/wp-content/themes/w-salerno/img/it-b.png,,2026-06-10,,No,Salerno,Incerto (stack classico),Sì (SEO 85),No (non rilevato),Incerto,2.0,Convento del XVI secolo posizione molto centrale. | PageSpeed: perf=88 seo=85 bp=96. Stack: wordpress|jQuery|WordPress. Booking engine: non rilevato. LUSSO(plus). Blog non verificato (0.5).,Salerno Centro dimora storica; B&B dimora storica; Salerno; Convento del XVI secolo posizione molto centrale; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Salerno Incoming DMC,https://www.salernoincoming.it,https://www.google.com/maps/search/?api=1&query=Salerno+Incoming+DMC+Salerno,Tour operator / DMC incoming,3,tour@salernoincoming.it,+39 089 0977689,,https://www.salernoincoming.it/wp-content/uploads/2025/02/Button_Chat__1.webp https://www.salernoincoming.it/wp-content/uploads/2025/02/Button_UK__1.webp https://www.salernoincoming.it/wp-content/themes/lightreal/assets/images/agentsiocn-red.png,,2026-06-10,,No,Salerno,Incerto (stack classico),Sì (SEO 100),Sì (fareharbor),Incerto,2.0,Via Luigi Guercio 277 oltre 20 anni soggiorni tour transfer Salerno-Costiera-Cilento. | PageSpeed: perf=68 seo=100 bp=54. Stack: wordpress|jQuery|WordPress|core-js. Booking engine: fareharbor. Blog non verificato (0.5).,Salerno Incoming DMC; Tour operator / DMC incoming; Salerno; Via Luigi Guercio 277 oltre 20 anni soggiorni tour transfer Salerno-Costiera-Cilento; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Campania Incoming,https://www.campaniaincoming.it,https://www.google.com/maps/search/?api=1&query=Campania+Incoming+Salerno,Tour operator incoming,3,info@campaniaincoming.it,+39 081 5580216 / +39 338 5231237,https://wa.me/393385231237,https://www.campaniaincoming.it/images/lang/it.png https://www.campaniaincoming.it/images/lang/en.png https://www.campaniaincoming.it/images/lang/es.png,,2026-06-10,,No,Salerno,No,Sì (SEO 91),No (non rilevato),Incerto,2.5,Tour ed itinerari esperienziali in tutta la Campania partner B2B. | PageSpeed: perf=70 seo=91 bp=73. Stack: react|Bootstrap|jQuery|React. Booking engine: non rilevato. Blog non verificato (0.5).,Campania Incoming; Tour operator incoming; Salerno; Tour ed itinerari esperienziali in tutta la Campania partner B2B; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Hotel Scapolatiello,https://www.hotelscapolatiello.it,https://www.google.com/maps/search/?api=1&query=Hotel+Scapolatiello+Cava+de%27+Tirreni,Hotel,2,direzione@hotelscapolatiello.it,+39 089 443611,,https://hotelscapolatiello.it/wp-content/plugins/sitepress-multilingual-cms/res/flags/en.svg https://hotelscapolatiello.it/wp-content/plugins/sitepress-multilingual-cms/res/flags/it.svg https://hotelscapolatiello.it/wp-content/uploads/2025/08/HS_Late-checkout.webp,,2026-06-10,,No,Cava de' Tirreni,Sì (probabile),Sì (SEO 85),No (non rilevato),Incerto,3.5,Piazza Risorgimento 1 Badia di Cava terrazza panoramica piscina. | PageSpeed: perf=65 seo=85 bp=77. Stack: wordpress|jQuery|jQuery UI|WordPress|core-js. Booking engine: non rilevato. Blog non verificato (0.5).,Hotel Scapolatiello; Hotel; Cava de' Tirreni; Piazza Risorgimento 1 Badia di Cava terrazza panoramica piscina; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Hotel Victoria Maiorino,http://www.victoria-hotel.it,https://www.google.com/maps/search/?api=1&query=Hotel+Victoria+Maiorino+Cava+de%27+Tirreni,Hotel,3,info@victoria-hotel.it,+39 089 465048,,http://www.victoria-hotel.it/wp-content/themes/victoriatema/images/languages/it.png http://www.victoria-hotel.it/wp-content/plugins/sitepress-multilingual-cms/res/flags/en.png http://www.victoria-hotel.it/wp-content/plugins/sitepress-multilingual-cms/res/flags/fr.png,,2026-06-10,,No,Cava de' Tirreni,No,Sì (SEO 92),No (non rilevato),Incerto,2.5,Corso Mazzini 4 vicino centro storico famiglia albergatori dal 1886. | PageSpeed: perf=49 seo=92 bp=70. Stack: wordpress|LitElement|lit-html|Google Maps|jQuery|jQuery UI|W. Booking engine: non rilevato. Blog non verificato (0.5).,Hotel Victoria Maiorino; Hotel; Cava de' Tirreni; Corso Mazzini 4 vicino centro storico famiglia albergatori dal 1886; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Montecaruso Hotel Diecimare,https://montecaruso.it,https://www.google.com/maps/search/?api=1&query=Montecaruso+Hotel+Diecimare+Cava+de%27+Tirreni,Hotel / banqueting,2,info@montecaruso.it,+39 089 467817,,https://montecaruso.it/wp-content/plugins/sitepress-multilingual-cms/res/flags/en.png https://montecaruso.it/wp-content/uploads/sites/19/2021/12/Colazione-1-768x413.png https://montecaruso.it/wp-content/uploads/sites/19/2021/12/Secondo-mare-2-768x413.png,,2026-06-10,,No,Cava de' Tirreni,Incerto (stack classico),Sì (SEO 100),No (non rilevato),Incerto,3.0,Via San Felice Secondo piscina tennis ristorante eventi cerimonie. | PageSpeed: perf=63 seo=100 bp=92. Stack: wordpress|jQuery|Underscore|WordPress. Booking engine: non rilevato. Blog non verificato (0.5).,Montecaruso Hotel Diecimare; Hotel / banqueting; Cava de' Tirreni; Via San Felice Secondo piscina tennis ristorante eventi cerimonie; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Agriturismo Sant'Anna,https://s.anna1939.com,https://www.google.com/maps/search/?api=1&query=Agriturismo+Sant%27Anna+Cava+de%27+Tirreni,Agriturismo,2,,,,https://s.anna1939.com/wp-content/plugins/revslider/public/assets/assets/dummy.png https://s.anna1939.com/wp-content/uploads/2022/07/home_animals2_x2.png https://s.anna1939.com/wp-content/uploads/2022/09/home_animali_02_square-768x640.png,,2026-06-10,,No,Cava de' Tirreni,Sì (probabile),Sì (SEO 92),No (non rilevato),Incerto,3.5,Agriturismo con ristorante e maneggio contesto rurale collinare. | PageSpeed: perf=75 seo=92 bp=92. Stack: wordpress|jQuery|jQuery UI|WordPress. Booking engine: non rilevato. Blog non verificato (0.5).,Agriturismo Sant'Anna; Agriturismo; Cava de' Tirreni; Agriturismo con ristorante e maneggio contesto rurale collinare; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Mondo Trezza Travel,https://www.trezzatravel.it,https://www.google.com/maps/search/?api=1&query=Mondo+Trezza+Travel+Cava+de%27+Tirreni,Agenzia viaggi / incoming,2,info@mondotrezzatravel.it,+39 089 342702 / +39 393 9664751,https://wa.me/393939664751,https://www.mondotrezzatravel.it/public/utenti/210793/galleria/210793_evento_6469_7886.jpg https://www.mondotrezzatravel.it/public/utenti/210793/galleria/210793_evento_6465_2637.jpg https://www.mondotrezzatravel.it/public/utenti/210793/galleria/210793_evento_6463_17.png,,2026-06-10,,No,Cava de' Tirreni,Incerto (stack classico),Parziale (SEO 83),No (non rilevato),Incerto,3.0,Via Alfonso Balzico 51 servizi incoming agenzia locale. | PageSpeed: perf=55 seo=83 bp=92. Stack: Bootstrap|jQuery. Booking engine: non rilevato. Blog non verificato (0.5).,Mondo Trezza Travel; Agenzia viaggi / incoming; Cava de' Tirreni; Via Alfonso Balzico 51 servizi incoming agenzia locale; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
